movie_id,title,year,plot
3280625,'O puorco,2009,"The sacrifice of pig in some ancient ethnic group from the south of Italy, to represent the brutality of human beings rooted in every aspect of our contemporary society. We see one of the primitive and archaic human behaviour that has driven his struggle for life, the killing of other species. Everyone at the same time are the executor and the victim of themselves."
3281971,00:05'01,2008,"A scenic work about nature, human nature, and the unknown, 00:05'01 is set in an apocalyptic future where life is scarce but plant life is plentiful. The story chronicles one Future Human who begins to question her routine way of life, a life controlled by her watch. As the film states: Every day, each human is allowed only five minutes on the surface."
3288302,20 Years After,2008,"Everything that could go wrong did go wrong: War, Terrorism, Natural Disasters. Evacuees were ushered from the cities to refugee camps in the surrounding counties. In-fighting, famine and disease took their toll on the survivors. Now, twenty years after the bombs fell and the plagues ran their course the few that remain live in fear and without hope. Azura Skye stars as Sarah in this Post-Apocalyptic Fairy Tale about a young woman's journey to deliver the first child born in 15 Years. Sarah's refusal to give up is inspired by a lone voice on her radio. Michael broadcasts dim and distant messages of hope mixed with the music he scavenges from the dead. Forced from her basement home by drought and relentlessly pursued by those who want her baby, Sarah crosses paths with Michael in a cavernous, underground refuge of disparate survivors. It is from Three Caves that Michael and Sarah will embark on a journey beyond the boundaries of the Southern Corridor and into the unknown future."
3289227,2012,2009,"Geophysicist Adrian Helmsley officially visits India's Dr. Satnam Tsurutani, his pretty wife, Aparna, and their son. From thence, he is led to the world's deepest copper mine, where he finds evidence that the Earth's crust is heating up faster than expected. He quickly collects evidence, and presents it before the President of the United States. Expecting the news to hit leading media, he is instead stunned when he learns that the powers-that-be have no intention of publicizing this catastrophe, and are intent on saving wealthy families that can shell out a billion Euros per family on four mammoth arks - without realizing that if the Earth is indeed headed for the prophetic self-destruction on 21 December 2012 - how can arks and it's wealthy inhabitants survive?"
3289786,2081,2009,"A short film adaptation of Kurt Vonnegut's Harrison Bergeron, 2081 depicts a dystopian future in which, thanks to the 212th Amendment to the Constitution and the unceasing vigilance of the United States Handicapper General, everyone is ""finally equal...."" The strong wear weights, the beautiful wear masks and the intelligent wear earpieces that fire off loud noises to keep them from taking unfair advantage of their brains. It is a poetic tale of triumph and tragedy about a broken family, a brutal government, and an act of defiance that changes everything. Featuring an original score performed by the world-renowned Kronos Quartet (Requiem for a Dream) and narration by Academy Award Nominee Patricia Clarkson (Far From Heaven, Goodnight and Good Luck), 2081 stars James Cosmo (Braveheart, Trainspotting), Julie Hagerty (Airplane!, What About Bob?) and Armie Hammer (The Social Network)."
3289789,2084,2009,"Not much left since the world died. That's what they called it the day the virus took over and people went inside, never to leave their homes again. Soon after that, the last of the food was gone, the last drop of gas was used up, the government collapsed. Chaos... on a global scale."
3290915,27 Down,2009,"The film 27 Down is an original mystery thriller. It follows the exploits of a Boston Police detective who gets embroiled in a tense hit-and-run investigation. The story takes place around Boston locations and in the fictional town of Canada, Maine. Writer/Director of the film, John Depew says, ""The film uses a crossword puzzle as a metaphor for predicaments the characters must untangle in their lives. There are some twists and surprises in the story, with an important clue revealed when the puzzle for 27 Down is solved."""
3293270,3V Man,2009,"Los Angeles, 2043. Toxic viruses have seized control of Earth. One man, Justin Marcus, possesses an exceptional ability, but wields it for his own self-indulgence until one startling day, he becomes conscious of his divine obligation: to save humanity before it plunges into extinction."
3297777,9,2009,"In a world destroyed in a war between man and machine, a hand-stitched doll with the number 9 written on its back comes to life. The world he has awakened in is frightening, but he quickly learns that he is not alone and that there are others like him, also with a single digit written on their back. The first one he encounters is 2 who tells him something of what happened to the world. 2 is also thrilled with the disk 9 is carrying, one with three unique symbols on the front. 9 soon learns that the disk and some of the other dolls who are prepared to die for the good of humankind may be the last hope for man's salvation."
3303688,A Day on the Asteroid,2009,"It is the year 3032AD and the United Earth Systems have been alerted to illegal worm-hole activities occurring on the Asteroid mining colony, Palermus IV. Chief Inspector Winnifred Whackerman and Lt. Julius Johnson are dispatched to investigate Commissar Lev Brownsteen who rules Palermus IV as a Communist dictatorship. As the investigation begins, Julius Johnson meets and becomes smitten with Natasha Pentupp, daughter of the wealthy Heiress and Matriarch of Palermus IV, Margaret Pentupp. Meanwhile, the Commissar prepares the colony for a guest speaker that he has acquired from the past."
3307963,A Hammer Fell in Jerusalem: Anathema,2009,"Laurel is being chased by forces she doesn't quite understand. Taking Abner's advice, she seeks out the Priest, but he wants nothing to do with her. However, the further he walks away, the more drawn in he becomes, especially when he discovers that she's being hunted by an old foe. Against his better judgment, the Priest agrees to help Laurel, who is more than she seems to be."
3311400,A Machine Beloved,2009,"Entering into a bleak futuristic New York City, A Machine Beloved follows Oliver and Toby in their final night before surrendering themselves to a pseudo-scientific experiment. Toby will travel into Oliver's soul through ways of a machine and all will soon realize how powerful the relationship between the individual and the universe can be while rhythm, movement, art, and the spoken word all collide into a new form of narrative."
3325133,A.D.,2008,"Allison Dawn - warrior/missionary of a post-apocalyptic Earth -- crash lands her surface pod somewhere in the freezing sub-Arctic. She is immediately attacked by a pack of hungry mutant wolves, which, she easily dispatches with her ancient Old West-style revolvers. She uses their hides for extra clothing and to build a make-shift snow wigwam. Her presence soon attracts another hostile, this time an aggressive native woman. Allison, an expert shot with her pistols, once again gains the upper-hand. The native woman wakes up next to a campfire in Allison's warm shelter. The gunshot wound on her shoulder has been dressed. After sharing some drink and foreign banter to one another, Allison introduces herself and finds out the native woman's name is Khalia. It seems to be the start of an unlikely friendship. When Allison awakes, Khalia is gone. Allison steps out into the twilight. Khalia stands looking out over a nearby ridge. Allison joins her. Khalia says something in her native tongue. Both women stare out to a descending valley at the deserted ruins of a once great urban metropolis."
3327786,Abigail,2008,"A teenage girl disappears under mysterious circumstances only to become an international icon overnight. When her best friend goes looking for her, she must navigate environments both real and virtual to find out what her disappearance means not only to their friendship, but to all of society."
3331040,Act II,2008,Sally travels back in time to stop a vicious attack on her younger self. She ends up causing a series of events that leads to her being the cause of the attack. Now she must convince her younger self to escape. Along the way she discovers that her memory of the event has been warped and she was become part of her own time-line.
3334083,Advanced,2008,"Nick lives a horrible life of self-destruction as he is advised by a newly-released device meant to ""better"" it's user, a Personal Assistant Computer (PAC) that begins using it's own methods of user improvement as Nick's lifestyle hurts others as well as himself."
3334149,Advent-Hope,2009,"A science-fiction fantasy about a little girl with special abilities on the run from an unscrupulous overlord. During her escape, young Madison encounters a boy with gifts of his own, and the two conspire to flee the city in the hope of reaching a safe place beyond the overlord's reach."
3336292,After Last Season,2009,"Two ordinary people, Two ordinary lives will be changed forever when they meet for the first time a d love blossoms in the air. Join these two average Joes on an adventure that will change their lives for the better. Starring Akec Baldwon and Scarlet Johannesburg. Directed by Melon HipSon After Last Season tells the story of two lovers, Andy and Jennifer, trying to survive the Armenian genocide. As two Romanis living in the Ottoman Empire of the early 20th century, Andy and Jennifer decide to leave their village and move to the big city of Istanbul. These two infidels accidentally trigger local authorities by promoting their Pagan beliefs, and are soon slaughtered. The movie begins just as they arrive at the gates of hell, and gives you a POV perspective of the horrors that Allah inflicts upon them."
3339766,"AIDS Camp, or, Survival Into the 21st Century",2009,"AIDS is created by the government. Later, a real estate agent with AIDS is sent to camp for a strictly enforced meds regimen. The occupants of the compound escape and are given a remedy by a group of free spirits who only wish to heal."
3346433,Alien Abdicktion,2009,Alien Abdicktion is about a young guy who thinks he was abducted by aliens because he wakes up with an oddly shaped scar and no memory of how it happened. It's a fun ride sure to leave you feeling out of this world!
3346539,Alien Encounter,2008,"Two college students, Cameron and Justin go camping in the Arizona mountains for the weekend only to find themselves lost on a beach somewhere in California. Missing time, the mystery deepens when Cameron uncovers a unknown specimen not from Earth. In a race against time, with the government hot on their trail, Cameron and Justin's journey twists and turns and becomes more than just another close encounter."
3346646,Alien Raiders,2008,"It's the end of yet another night at Hastings Supermarket, an idyllic family grocery store in Buck Lake, Arizona. But the normal monotony of rounding up shopping carts and settling out the cash drawers is broken at 11:07pm, just before closing when a group of masked and armed-to-the-teeth militants invades the store, immediately killing several of the employees and shoppers and holding the rest hostage. Though the hostage-takers at first appear to be robbers or terrorists, they reveal themselves to be a cadre of rogue scientists that has discovered and tracked an alien infestation to THIS STORE on THIS NIGHT, and they are determined to find out which of the survivors are extraterrestrials and end the invasion at any cost."
