ent,kind,hand_code
The,O,O
sacrifice,O,O
of,O,O
pig,O,O
in,O,O
some,O,O
ancient,O,O
ethnic,O,O
group,O,O
from,O,O
the,O,O
south,O,O
of,O,O
Italy,LOCATION,LOCATION
",",O,O
to,O,O
represent,O,O
the,O,O
brutality,O,O
of,O,O
human,O,O
beings,O,O
rooted,O,O
in,O,O
every,O,O
aspect,O,O
of,O,O
our,O,O
contemporary,O,O
society,O,O
.,O,O
We,O,O
see,O,O
one,O,O
of,O,O
the,O,O
primitive,O,O
and,O,O
archaic,O,O
human,O,O
behaviour,O,O
that,O,O
has,O,O
driven,O,O
his,O,O
struggle,O,O
for,O,O
life,O,O
",",O,O
the,O,O
killing,O,O
of,O,O
other,O,O
species,O,O
.,O,O
Everyone,O,O
at,O,O
the,O,O
same,O,O
time,O,O
are,O,O
the,O,O
executor,O,O
and,O,O
the,O,O
victim,O,O
of,O,O
themselves,O,O
.,O,O
A,O,O
scenic,O,O
work,O,O
about,O,O
nature,O,O
",",O,O
human,O,O
nature,O,O
",",O,O
and,O,O
the,O,O
unknown,O,O
",",O,O
00:05'01,O,O
is,O,O
set,O,O
in,O,O
an,O,O
apocalyptic,O,O
future,O,O
where,O,O
life,O,O
is,O,O
scarce,O,O
but,O,O
plant,O,O
life,O,O
is,O,O
plentiful,O,O
.,O,O
The,O,O
story,O,O
chronicles,O,O
one,O,O
Future,O,O
Human,O,O
who,O,O
begins,O,O
to,O,O
question,O,O
her,O,O
routine,O,O
way,O,O
of,O,O
life,O,O
",",O,O
a,O,O
life,O,O
controlled,O,O
by,O,O
her,O,O
watch,O,O
.,O,O
As,O,O
the,O,O
film,O,O
states,O,O
:,O,O
Every,O,O
day,O,O
",",O,O
each,O,O
human,O,O
is,O,O
allowed,O,O
only,O,O
five,O,O
minutes,O,O
on,O,O
the,O,O
surface,O,O
.,O,O
Everything,O,O
that,O,O
could,O,O
go,O,O
wrong,O,O
did,O,O
go,O,O
wrong,O,O
:,O,O
War,O,O
",",O,O
Terrorism,O,O
",",O,O
Natural,O,O
Disasters,O,O
.,O,O
Evacuees,O,O
were,O,O
ushered,O,O
from,O,O
the,O,O
cities,O,O
to,O,O
refugee,O,O
camps,O,O
