influence.1.1		influence.1.2		influence.1.3		influence.1.4		influence.1.5		influence.1.6		influence.1.7		influence.1.8		influence.1.9		influence.2.1		influence.2.2		influence.2.3		influence.2.4		influence.2.5		influence.2.6		influence.2.7		influence.2.8		influence.2.9		influence.3.1		influence.3.2		influence.3.3		influence.3.4		influence.3.5		influence.3.6		influence.3.7		influence.3.8		influence.3.9		influence.4.1		influence.4.2		influence.4.3		influence.4.4		influence.4.5		influence.4.6		influence.4.7		influence.4.8		influence.4.9		influence.5.1		influence.5.2		influence.5.3		influence.5.4		influence.5.5		influence.5.6		influence.5.7		influence.5.8		influence.5.9		influence.6.1		influence.6.2		influence.6.3		influence.6.4		influence.6.5		influence.6.6		influence.6.7		influence.6.8		influence.6.9		influence.7.1		influence.7.2		influence.7.3		influence.7.4		influence.7.5		influence.7.6		influence.7.7		influence.7.8		influence.7.9		influence.8.1		influence.8.2		influence.8.3		influence.8.4		influence.8.5		influence.8.6		influence.8.7		influence.8.8		influence.8.9		influence.9.1		influence.9.2		influence.9.3		influence.9.4		influence.9.5		influence.9.6		influence.9.7		influence.9.8		influence.9.9		
0.000000000000000000e+00 4.616901008404836887e-02 7.324985766151158373e+00 2.518155710514360729e-11 1.218455736314266302e-04 1.497018432070681630e-11 2.725908882776107434e-01 1.312706733679028410e-02 4.974461094417040944e-22 8.180149166488691866e-10 0.000000000000000000e+00 1.324184269231738931e+00 1.162880913002293015e+00 1.958832855101319429e-05 2.533231073307157244e-01 6.241895209158930216e-12 5.385444287270377828e-01 3.144611829146165771e+00 2.844245194682680695e-04 3.219713535503310881e-02 0.000000000000000000e+00 4.134171108609318332e-04 1.386114913124136989e-03 9.523762844048352383e-01 9.911505070912862039e-10 1.293668823147282182e-02 7.844244737976581103e-03 7.930592485159614557e-06 8.255918197990864016e+00 3.054458843927358127e-14 0.000000000000000000e+00 8.992813438234585621e-02 7.230966379224028177e-03 5.854267858289932989e-09 1.154831957184999647e-01 1.537582363307433213e-14 6.341039708398285038e-07 1.577663647528485986e-06 2.193365206366344535e-06 6.306116693124412152e-05 0.000000000000000000e+00 2.512387360233700870e-12 1.435137375811887661e-01 2.917924527747512862e-05 7.521532597946056428e-03 4.121267470326748027e-07 4.039822179929483115e-01 5.885688134527774729e+00 6.631612388926858004e-03 7.564276059864095834e-14 0.000000000000000000e+00 2.153113124594919492e-01 1.671448978808985908e+00 4.319515130288776250e-05 2.253591554944915920e+00 8.858927739735386608e-03 3.134879540805541875e-01 5.782722366525358204e+00 2.692139631162894453e+00 2.443083193445953760e-02 0.000000000000000000e+00 7.312821723024858465e-04 7.910951564665338331e-01 1.369213915021292638e-06 5.195573162025530332e-08 1.764150146803794138e-05 8.562073339614975588e-05 2.588503173188070328e-01 6.622674129595872150e-02 8.829476018725498920e-02 0.000000000000000000e+00 2.052028264279295300e+00 8.111868032166337232e-06 3.585011891144412575e-07 1.301535562879026634e-09 4.824398235043906524e+00 5.774946624301060052e-04 5.583509399441498094e-09 9.246104025566996218e-03 5.489301030090016147e-12 0.000000000000000000e+00
0.000000000000000000e+00 2.340403118936957294e-01 8.455053164039605385e-01 4.705056612368692964e-12 1.098248566266351429e-04 6.178852655579392671e-11 2.803876732301910368e-01 1.071887214459797677e-02 1.424715306405427266e-20 7.697665787505091352e-10 0.000000000000000000e+00 3.661464360329387824e-01 1.334848980448883449e+00 6.434330873945594753e-05 1.060572097431320970e-01 3.775794928673519223e-12 2.023176043366870402e+00 6.178410334004512450e+00 6.425519734493023889e-04 6.629973310560516309e-01 0.000000000000000000e+00 3.825971014561897320e-04 8.058582809862365652e-04 3.790865992324971012e-01 9.153716267393369878e-10 7.084717535890719745e-03 9.102560372078880718e-03 2.223623510185030925e-05 6.766943535452907277e+00 5.414467285621588040e-13 0.000000000000000000e+00 2.400269016200456684e-01 7.537674547985264220e-03 1.000475625473828922e-08 2.915556904003722694e-01 4.218182862439257197e-13 2.646778855955803270e-07 1.327222880035821831e-07 1.627575072823487215e-06 6.817073642873492116e-05 0.000000000000000000e+00 3.881590206767914160e-12 2.503894522207210649e-01 3.008022404838988037e-05 1.313590355680317179e-01 1.563705480099079065e-06 3.740827645695394277e-01 8.614466338125589928e+00 5.430645528423308152e-03 4.542958124259157363e-14 0.000000000000000000e+00 2.106312173135345966e-01 6.203786823641278536e-01 1.837817342282290997e-04 9.579246290590143209e-01 9.428248833358439732e-03 4.164865914216788617e-02 9.474031993371049509e+00 2.278809589090571741e+00 2.545973350150297979e-02 0.000000000000000000e+00 3.235849624166869942e-03 9.323210945435099484e-02 1.983387260938525940e-06 5.316267829120030641e-08 5.740211328111903555e-07 3.012217769599126007e-05 4.236452085315965399e-01 7.493038379038229058e-02 4.069304408708212389e-02 0.000000000000000000e+00 2.240918411427126777e+00 1.117177454798468641e-05 2.646575863294197095e-07 1.083588896694059786e-10 2.245474287812789793e+00 1.541189049509380691e-04 6.904682783732531499e-09 8.305603916346620055e-03 4.199727784803102673e-11 0.000000000000000000e+00
0.000000000000000000e+00 9.390793074580627842e-02 1.209095760342545622e+00 9.292496688061827638e-13 8.045106116597117922e-05 9.328371819968385630e-11 8.602317737505454920e-02 1.270055800992091633e-03 5.899969740466113265e-21 3.587323466009324546e-10 0.000000000000000000e+00 1.251134658605044803e-01 1.383001419104074037e+00 3.481267925407415682e-06 1.050988311357522464e-01 3.742214235739216665e-11 9.386579173840425838e+00 5.396115345106026417e+00 2.131346505190016448e-04 4.531297192377291005e-01 0.000000000000000000e+00 2.252614956950372248e-03 3.549843695051946562e-03 9.104473142321395374e-01 7.417788238415513721e-10 1.268854862562074533e-02 1.527843172282591575e-02 2.036463487467381884e-05 9.021686850872658425e+00 7.062296649580297112e-13 0.000000000000000000e+00 3.751805336360710674e-01 5.671338100434098264e-03 8.743525893492689063e-09 1.165281233098381941e+00 2.214920262186262033e-12 4.953188549263338026e-07 2.953757445605219967e-06 1.611411355517905411e-08 2.028606135252355534e-06 0.000000000000000000e+00 3.759773166599885619e-12 4.605257060299278171e-01 7.884606130818678214e-05 1.130869550347754493e-01 9.683527568362077537e-06 2.409244519712644139e-01 5.400364907168323292e+00 6.379539718608198164e-03 2.485465959614410778e-14 0.000000000000000000e+00 2.454016685409243087e-03 5.972946301801455027e-01 2.075119730332696390e-04 6.842239799074909534e-01 2.526787241681832056e-03 1.137709349901349504e-02 7.525633799958791670e+00 1.981386957559686079e+00 1.773499247718652444e-02 0.000000000000000000e+00 6.429086245180720000e-03 1.835661463945337246e-01 2.955926035430582465e-06 2.619648951918741051e-07 6.071576942684121857e-07 3.180603249281469300e-05 1.225704499810224668e+00 3.025340205030683238e-01 7.093748525140003078e-03 0.000000000000000000e+00 2.099734675267649120e+00 2.042207381059626817e-05 2.090180382330275619e-06 7.045849665848986314e-11 7.068052158384279693e+00 4.466716101405659935e-04 1.611937448456220759e-09 2.111591709001093761e-02 3.116167208103677262e-10 0.000000000000000000e+00
0.000000000000000000e+00 4.769030018669324078e-01 1.184154050617368892e+00 3.198135519865602074e-12 1.681655816440936341e-04 1.244367866934162323e-09 1.682238553435877193e-01 2.301473453111399156e-03 2.322779276277599071e-20 1.328867953211074555e-09 0.000000000000000000e+00 3.281265861461799688e-02 3.016832800326545438e+00 4.016144239375165755e-06 1.524771072510518188e-01 4.360059311839225741e-11 3.884468553534243807e+00 3.345173840644093399e+00 3.212750448562705537e-03 4.800111937605608947e-01 0.000000000000000000e+00 1.005471457563221656e-03 1.785033632578190239e-03 1.002704688596244009e-01 1.308659576577016918e-09 1.086660991628804300e-02 1.935499459238626888e-02 1.317589275586163580e-06 9.884794310741272128e+00 1.820470073666146483e-12 0.000000000000000000e+00 1.256390582409676604e+00 8.429498245344497868e-04 3.727452034235889897e-08 1.716801523110259353e+00 7.488605954150915927e-13 4.546185957694507442e-05 5.044577136201560825e-06 6.358880527040621365e-07 1.886275322340183359e-06 0.000000000000000000e+00 1.419329108394506593e-12 7.271388740504227677e-01 2.999243069871330376e-05 2.611539052573534983e-02 1.948508359917582744e-06 9.714023562000042439e-03 4.248780535138701353e+00 1.385049516217873311e-01 1.563131772060960024e-13 0.000000000000000000e+00 1.256459356302258449e-03 2.868265535342734429e-01 5.754695787443660996e-05 1.286080912036766222e+00 1.886317634544802391e-01 4.800977279257194474e-02 2.336243877632304677e+00 2.670268252680461529e+00 1.727489268803374545e-03 0.000000000000000000e+00 1.788102115469362768e-04 7.921458178875020906e+00 1.623651575449634317e-06 3.840483592002232140e-07 1.336534564528227590e-06 2.957200226393683136e-05 1.810140342990734563e+00 2.141276148081542097e+00 7.999629846802153860e-03 0.000000000000000000e+00 5.487977760080205769e+00 2.522112505329648181e-05 2.201761363471595716e-06 1.781103171794111336e-11 8.076707692145298267e+00 3.144157012097178582e-04 2.664381728648442309e-10 8.371332986468735249e-02 7.486432810578348009e-11 0.000000000000000000e+00
0.000000000000000000e+00 7.476526282870048945e+00 3.020567622343165587e-02 3.605100005574296696e-12 2.653543172571651266e-04 8.743826692164319030e-10 8.217837417099356223e-01 8.651636673485146216e-04 1.311848337344978818e-20 6.592159154823794990e-10 0.000000000000000000e+00 6.756425423023446064e-02 2.536279817934230074e+00 5.716303867353684072e-06 5.441251209429117525e-02 1.979841138031181163e-11 4.336705115427314183e+00 1.363031443916857821e+00 2.382582019915623246e-03 1.037750159886250828e-01 0.000000000000000000e+00 9.872603579876050583e-04 2.277349263950036867e-02 1.314773509642622185e-01 1.261815232981931867e-09 1.128845659351279370e-03 1.499453129239214193e-02 1.564310333718446464e-06 1.792715711242967913e+00 3.943592522613738226e-12 0.000000000000000000e+00 2.888906560531756540e+00 3.433473592395928572e-04 1.357616849621776401e-07 4.226116850510349465e+00 7.982664935342395357e-13 1.586440699917331075e-06 4.122900519715697765e-06 1.814783870304183625e-07 4.214957336167086264e-06 0.000000000000000000e+00 1.389948744602525369e-12 1.479970874447453566e+00 3.595254576115642807e-04 2.163138559291066798e-02 5.673193701062231589e-06 1.170395194404348811e-03 3.685247869161869527e+00 8.017590858762810302e-02 1.772135833241006394e-13 0.000000000000000000e+00 6.776664376338088769e-02 2.484168571019678140e-01 4.873307144919127216e-05 1.361685756549414483e+00 3.493318095301048420e-01 6.927727669193161665e-04 1.547397238458624980e+00 2.200147950977587641e+00 1.342696904434079257e-06 0.000000000000000000e+00 2.134648680801947101e-04 1.247296619293786213e+00 5.151553430527358045e-07 3.291209511097284931e-07 1.106744615363810056e-06 1.065166386766140009e-05 8.664365453032192299e-01 3.290739287354857989e+00 1.371596441620811201e-02 0.000000000000000000e+00 6.975645177323064772e+00 5.519118630282754260e-06 3.701662976307515010e-07 1.005079537779342579e-10 5.613815465255206583e+00 7.809290157568280020e-04 3.717073282555580291e-10 2.446911950261095384e-02 3.531924189385602386e-12 0.000000000000000000e+00
0.000000000000000000e+00 5.148100367218711781e+00 1.198225980958064069e-01 6.653577270560889653e-12 3.354939920394496599e-05 4.125494362367483426e-10 8.947765314230206324e-02 9.080374609646736520e-04 4.019689524192609176e-20 4.124828930888453399e-10 0.000000000000000000e+00 2.552908700971399589e-02 3.246624872706295406e+00 3.068099086353249768e-05 3.322786717443488858e-01 2.483362523313713517e-11 2.312646670964383588e+00 7.992355172830248877e-01 1.264099835274382078e-01 1.033856563180197974e-01 0.000000000000000000e+00 3.614544169881807865e-04 1.779545476299925627e-02 1.114046214095288090e-01 5.245509012727744650e-09 1.898179086286056535e-04 4.353412993032731437e-01 9.773035045686080839e-07 2.049382247591333250e+00 7.005079136491716898e-13 0.000000000000000000e+00 9.185192178591539136e-01 3.409626475050330906e-03 1.520067407330139505e-07 2.257407681366351504e+00 4.392320738472904684e-13 2.253435757669244862e-06 6.551151436263647127e-06 3.336661769379205252e-09 1.116770689263732775e-05 0.000000000000000000e+00 3.857035053696801688e-13 8.423589242929202525e-01 3.997464346534166432e-04 3.658544988313374834e-03 3.031573209216493263e-05 1.498282247362115035e-03 7.397646763101386469e-01 4.379122776927274474e-02 4.494407319644186077e-13 0.000000000000000000e+00 4.007123699793023464e-02 6.974366341316715068e-02 2.218909486863549288e-04 8.373723556803946977e-01 1.757361437919109592e+00 1.447950258381006626e-03 1.010625642982795114e+00 9.482753493609574758e-01 1.191544665357958740e-06 0.000000000000000000e+00 2.148328355755220280e-04 3.233555396187933972e+00 6.259008809295452876e-08 4.939050769600344868e-07 2.423269709800916357e-05 2.861624696939657166e-05 1.624236394996063648e+00 8.887296481284209904e+00 1.042557975938659398e-01 0.000000000000000000e+00 2.783069594602685104e+00 6.517564494052491717e-06 3.469205656262756971e-07 7.477405157969172415e-10 1.825211593251885311e+00 2.001169571765533915e-03 1.035403104501210131e-09 2.986518633988948651e-02 2.133112937108827242e-12 0.000000000000000000e+00
0.000000000000000000e+00 1.263564752122146029e+00 7.368223040410938618e-02 6.068040706151231348e-12 2.790389413769478978e-05 5.264376647579722611e-10 1.742154378998728437e-01 2.115366481838349549e-02 6.813800568234105376e-20 2.934010938727346577e-10 0.000000000000000000e+00 2.994642041801435020e-02 3.153172097677567898e+00 7.587586163789780179e-06 2.959846445550930183e-02 1.016507426118494283e-11 3.426874871412123547e+00 6.894069430719811375e-01 2.190185013136818071e-02 6.724641215953425233e-02 0.000000000000000000e+00 3.424055412198548473e-04 1.220601414694625665e-02 2.996608409494461861e-02 1.644416601915196900e-08 1.913504963819697780e-04 4.242512295357071528e-01 9.352674888827427013e-09 6.794749010951932178e+00 7.137163336025516087e-14 0.000000000000000000e+00 6.631724550365697413e-01 5.938384890089328308e-03 1.288088508376417448e-06 1.103167802396233244e+00 1.657304935588213887e-14 2.279866207675903385e-06 1.211892062273853965e-05 6.270437419711901466e-09 1.205051891956063648e-05 0.000000000000000000e+00 4.710533925828443312e-14 3.119275261371329822e-01 5.122700384235074310e-04 9.021108121107384442e-03 2.334357290495271933e-05 9.318763206712971266e-04 9.900645828967552520e-01 7.560339605689671283e-03 3.516665974469775307e-13 0.000000000000000000e+00 8.343866374308510359e-02 4.822461669520875654e-02 3.856357852185301745e-04 5.444780759154821403e+00 2.645802848339283919e+00 8.183284766717394089e-04 1.279261741061128443e+00 2.406173487188971727e+00 6.774839814413286144e-07 0.000000000000000000e+00 2.093973548421323969e-05 2.990790738475514576e+00 8.860278878723333896e-09 3.469454398106384215e-07 5.380024510026721013e-05 1.269894228607291932e-04 1.518451014978314140e+00 4.918515618020348867e+00 1.417441967463950181e-01 0.000000000000000000e+00 9.184560428237684149e-02 9.341121236311162397e-06 4.469562317328260785e-06 1.613790391871452655e-09 4.708563684592448340e+00 5.444287115690323552e-03 2.626644685540648272e-10 6.033008306148904959e-02 9.788282378622733345e-12 0.000000000000000000e+00
0.000000000000000000e+00 9.169742328796908204e-01 1.013894808378938001e-01 8.489505201995988007e-11 2.984117021136935624e-03 4.554515704385179399e-10 1.261508914258880620e-01 7.819304389933444399e-02 3.270240588534072406e-20 1.172981759879247139e-09 0.000000000000000000e+00 1.105038107499795204e-02 1.293355856412673033e+00 1.837053052706414581e-06 1.144937809300031369e-02 2.199271149840763325e-11 3.841703789125912927e+00 4.887332923607289742e-02 5.070840948036229451e-02 2.795719668558809823e-01 0.000000000000000000e+00 3.464505311909648493e-04 1.000047701498953112e-02 1.214123853439060541e-01 2.238010965839104696e-09 2.303137703139012369e-04 7.659531757660200668e-01 2.146208711165036348e-09 8.093884904414490933e+00 3.621860776448726236e-14 0.000000000000000000e+00 8.214415120583127283e-01 8.606556589012456446e-03 8.678237131176767618e-06 2.261060700237400134e+00 1.549769596451330842e-14 1.122919097199593579e-06 7.146991914965798431e-06 4.844253450983663125e-08 2.196663655910930711e-05 0.000000000000000000e+00 7.223207754118416240e-14 1.244741885504392076e-01 7.052959405476722865e-04 1.118828087699095392e-02 2.169887021325921087e-05 5.229183258781672618e-04 4.514844416982657371e-01 1.088515618303546352e-02 4.753525059441199003e-13 0.000000000000000000e+00 5.703498554295025232e-03 7.331390900881559584e-03 9.335488640517019057e-04 9.105761859125912849e+00 2.455731711521684790e+00 3.236679795130374855e-03 6.227827608004989912e+00 7.403156286438397071e-01 1.585846293741276677e-06 0.000000000000000000e+00 4.423475267910035515e-06 3.047376397337412612e+00 2.985612362872829948e-08 1.366481786104010099e-06 4.556241964172016496e-05 1.553254834830030578e-04 5.531591357523720554e+00 6.030357787677389503e+00 1.215742706597866957e-01 0.000000000000000000e+00 4.980631925339105148e-01 3.270512432991116702e-06 2.524206316742301928e-06 4.635827951935277422e-09 4.335114863813068098e+00 4.930406493936515845e-03 4.451597785881771710e-10 1.846845321954592445e-01 2.253345069892560252e-11 0.000000000000000000e+00
0.000000000000000000e+00 4.214152081490930790e+00 5.882881390855246306e-02 7.201671228892383765e-11 3.795806457191828760e-03 6.699803104511506464e-10 2.128775884425444520e+00 3.572683397780231918e+00 4.618592452965145888e-20 3.334345182632885804e-10 0.000000000000000000e+00 8.890722900019076835e-03 8.322247833298035857e+00 1.155500405244071780e-06 1.934713050379650856e-02 2.453162294815517692e-11 2.898362232610030009e-01 4.163482110913427348e-02 2.209048621483345951e-02 8.417228363406180358e-02 0.000000000000000000e+00 6.488454398839451319e-04 2.661483586189026650e-03 5.974006795610809634e-02 4.189859245042813227e-08 9.932191841964302360e-05 1.207166889848987346e+00 5.938515981019787306e-09 4.995275025593148843e-01 9.040071292153640080e-14 0.000000000000000000e+00 1.080803087313120470e+00 9.326272649540416279e-03 4.649736557456961143e-05 2.617043282014485328e+00 1.393108381526531449e-14 3.326371101013595008e-06 1.629602011923083823e-06 3.846644264754865170e-08 1.403762247058126413e-05 0.000000000000000000e+00 1.382815881455018314e-13 2.138072735365622312e-01 4.435297225209273802e-04 3.217899050694716413e-03 1.756663671404635945e-05 1.198237914006124172e-02 3.947771044569795551e-01 3.279534117101305830e-03 4.826983152362312615e-13 0.000000000000000000e+00 6.921776684588459849e-03 2.958372310656396786e-03 1.392467176038991858e-03 1.672714324069884517e+00 1.641922433300502249e-01 1.796233472593879990e-03 4.119750550632457653e+00 4.127848785336202947e-02 1.636361274589152111e-06 0.000000000000000000e+00 2.360576500220911051e-05 3.894451387682684285e+00 3.542421828561593319e-08 1.083319769416601612e-05 3.060681119706252335e-05 2.417372420803636825e-04 5.443098263899370792e-01 6.825152811306511857e+00 1.109984580099415141e-01 0.000000000000000000e+00 3.080819920008341928e+00 4.580645153334329436e-06 1.841007183560914262e-06 5.379196864799862191e-09 4.144691038405950323e+00 5.786877523988574051e-03 9.946033423096362301e-11 3.047609681138704896e-01 4.954978206424722448e-11 0.000000000000000000e+00
0.000000000000000000e+00 2.063821473019257446e+00 2.831165697774066722e-02 2.574715483584291264e-10 1.923519607380626273e-02 3.653889147572750598e-10 4.567186627506345076e+00 1.626606181150408892e+00 1.581662719902363947e-20 8.068593040776612008e-10 0.000000000000000000e+00 2.662393068337547738e-03 8.678703586942097203e+00 1.290231338858390722e-06 1.352383688195165105e-03 1.273119879316887188e-10 7.480050268630308863e-02 5.574201906603579518e-03 2.103202376099778947e-02 2.733617876215962625e-02 0.000000000000000000e+00 3.944535504339815018e-04 4.129617603826703405e-03 2.018885918066023674e-02 4.769538054445088133e-08 1.751027477199872673e-01 1.007386779483767869e+00 1.005478819513565359e-08 3.990302158247872377e+00 7.242043951164229515e-14 0.000000000000000000e+00 1.960130486706018749e-01 2.271197742086846633e-02 7.042447694162711760e-05 2.144433367861176443e+00 1.651680130411350282e-14 4.375475940762165585e-06 4.448027549698321387e-06 5.981486123688318812e-08 2.099028068829131649e-06 0.000000000000000000e+00 8.169927437605786918e-14 2.073346832106494619e-01 2.255282045712735193e-03 4.493458114143191601e-02 7.371969452807756323e-05 4.722802607936039260e-02 7.694065578362242752e-02 7.284494845100372793e-04 1.965076701109996619e-13 0.000000000000000000e+00 4.406883057041468231e-03 2.444620534029013498e-02 1.032244090084753416e-02 1.525078701294370065e+00 3.270060315959426034e-01 2.427490137633838384e-03 4.129433334407216272e+00 7.902848882399693756e-03 1.957920301269752656e-06 0.000000000000000000e+00 1.296439872397209783e-05 7.974472548952603823e+00 1.295640848577252509e-07 7.656716019244318692e-06 2.547845585686924643e-05 2.536596280039208847e-04 9.234411886433112338e-02 2.155795881050247331e+00 4.235885776043172846e-01 0.000000000000000000e+00 4.161083677116191315e-01 4.453762041930294041e-06 9.332233658880564125e-07 2.863623559489672803e-09 8.416741263726326139e+00 6.901625762766795680e-03 1.159842267092967331e-13 1.479147735305095246e-01 2.018983003304720412e-10 0.000000000000000000e+00
