log.prior	log.likelihood	log.likelihood.test.set
-7.962620037626833209e+02 0.000000000000000000e+00 -2.954177878639897870e+01
-7.974086491320185814e+02 0.000000000000000000e+00 -3.000843922218982129e+01
-8.090209492408635015e+02 0.000000000000000000e+00 -2.924839551842111973e+01
-8.260498888601919134e+02 0.000000000000000000e+00 -2.980668681744936066e+01
-8.155777492489962697e+02 0.000000000000000000e+00 -3.075115418889835439e+01
-8.090994884651438497e+02 0.000000000000000000e+00 -2.928655653155097127e+01
-7.994205258761080586e+02 0.000000000000000000e+00 -2.877136417217970177e+01
-8.267966814274155922e+02 0.000000000000000000e+00 -2.934666295048697293e+01
-8.339615123470255185e+02 0.000000000000000000e+00 -3.138399381962480561e+01
-8.399612514371835914e+02 0.000000000000000000e+00 -2.984584958351267403e+01
-8.440550732554386286e+02 0.000000000000000000e+00 -3.079794516207489607e+01
-8.310783963222803550e+02 0.000000000000000000e+00 -3.101050277415519929e+01
-8.218629423921493071e+02 0.000000000000000000e+00 -3.122960943834307557e+01
-7.994122415314468526e+02 0.000000000000000000e+00 -3.070018773746086538e+01
-7.959911009906500112e+02 0.000000000000000000e+00 -3.095326138759743628e+01
-7.828800491276481353e+02 0.000000000000000000e+00 -3.172234981268449872e+01
-8.255890542556356877e+02 0.000000000000000000e+00 -3.218643279997748152e+01
-8.057428448356974968e+02 0.000000000000000000e+00 -3.314434405371298453e+01
-7.877051039115319782e+02 0.000000000000000000e+00 -3.198845553223932825e+01
-7.761942501670141610e+02 0.000000000000000000e+00 -3.128867415928738183e+01
-7.751795602894231934e+02 0.000000000000000000e+00 -3.008743920399724914e+01
-7.747071782693292334e+02 0.000000000000000000e+00 -3.091116975967383951e+01
-7.776814528372823361e+02 0.000000000000000000e+00 -3.080065525850835684e+01
-7.867162859672835111e+02 0.000000000000000000e+00 -3.039220085781866487e+01
-8.055453482988198175e+02 0.000000000000000000e+00 -3.123909846019789427e+01
-7.963773011349994704e+02 0.000000000000000000e+00 -3.133288089041218427e+01
-8.006361449868211366e+02 0.000000000000000000e+00 -3.150513283190078084e+01
-7.985268107919130216e+02 0.000000000000000000e+00 -3.059185838187633522e+01
-8.036898265398162948e+02 0.000000000000000000e+00 -3.023357486266853300e+01
-8.153149063859343642e+02 0.000000000000000000e+00 -3.043299086820002231e+01
-8.045569552560151578e+02 0.000000000000000000e+00 -2.971766304898383737e+01
-8.200721644513605497e+02 0.000000000000000000e+00 -2.933576733324649410e+01
-8.490750511345128189e+02 0.000000000000000000e+00 -3.025316505080596130e+01
-8.542912695396996696e+02 0.000000000000000000e+00 -2.959700635636603749e+01
-8.488607615775042632e+02 0.000000000000000000e+00 -2.965823291216405266e+01
-8.318541717794231545e+02 0.000000000000000000e+00 -3.136343626809180307e+01
-8.435666865779926411e+02 0.000000000000000000e+00 -3.067650457816350240e+01
-8.530125652640228964e+02 0.000000000000000000e+00 -3.069703875836843565e+01
-8.593522686486576276e+02 0.000000000000000000e+00 -3.022079525175004733e+01
-8.837225901765157232e+02 0.000000000000000000e+00 -2.954572595247663003e+01
-8.672817724255932035e+02 0.000000000000000000e+00 -2.936421829932488947e+01
-8.423767880216773847e+02 0.000000000000000000e+00 -3.063087438344440727e+01
-8.479380888496825719e+02 0.000000000000000000e+00 -3.115349287636051656e+01
-8.671489281573039989e+02 0.000000000000000000e+00 -3.143858561408576691e+01
-8.319519317266496046e+02 0.000000000000000000e+00 -3.125880895793628156e+01
-8.359688669207755538e+02 0.000000000000000000e+00 -3.131401739246537375e+01
-8.510950103291989990e+02 0.000000000000000000e+00 -3.132759080824381215e+01
-8.472397322434117086e+02 0.000000000000000000e+00 -3.062924020172310691e+01
-8.469429661925830715e+02 0.000000000000000000e+00 -3.018984258538299059e+01
-8.345293353274366837e+02 0.000000000000000000e+00 -2.948061421099522761e+01
-8.226791808329372770e+02 0.000000000000000000e+00 -3.025183683120232558e+01
-8.279561974890534657e+02 0.000000000000000000e+00 -3.034633773797519041e+01
-8.133997065604021373e+02 0.000000000000000000e+00 -3.074723519454809662e+01
-8.321818808883770089e+02 0.000000000000000000e+00 -3.185153736291640314e+01
-8.462886505106313280e+02 0.000000000000000000e+00 -3.088483932698298418e+01
-8.708389821953958290e+02 0.000000000000000000e+00 -3.210308018139876651e+01
-8.632717212210733351e+02 0.000000000000000000e+00 -3.162838519019247485e+01
-9.040476614724689171e+02 0.000000000000000000e+00 -3.248806337884762740e+01
-9.142292749597927468e+02 0.000000000000000000e+00 -3.157900847745686690e+01
