time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	
8.603061216509681230e+01 1.102386193610781504e+02 1.073653478623939890e+02 9.531419232908174877e+01 1.293662486399866225e+02 1.043735996266068895e+02 1.033252444451113519e+02 8.801609914559026038e+01 1.102886080055873066e+02
8.729807808249111645e+01 9.927120292150127057e+01 9.958812613708670369e+01 8.881942593758354576e+01 8.582251893664832210e+01 9.744465096346431210e+01 1.208886862775544273e+02 8.575956645400992784e+01 1.105366311139744226e+02
9.243860319113461799e+01 9.931856761412669243e+01 9.911557532154455430e+01 9.586163961019121871e+01 9.472905832821572858e+01 1.139155096073946112e+02 9.235633976842187565e+01 1.102378611382693236e+02 1.098985405197859393e+02
1.166590567895238024e+02 1.045409259379673585e+02 1.021256598308942074e+02 8.906424290273972133e+01 1.015894078406520862e+02 9.619759356827692898e+01 9.921949646440521065e+01 1.078284755151876055e+02 9.593838183275171616e+01
8.738075451316542797e+01 9.315187347470461532e+01 1.016261451939467406e+02 9.193352527167564858e+01 9.510144574965450204e+01 9.376071457847081092e+01 1.077938984364598980e+02 1.064454665505578959e+02 1.008821836671427121e+02
1.033947725245896123e+02 9.292288766943434553e+01 1.026187247572773913e+02 1.094833026116827455e+02 1.005399817698480547e+02 1.071906127953585468e+02 1.174085980048515125e+02 8.671795413272262465e+01 8.657960431303693838e+01
1.160038492751488661e+02 1.061576944682262393e+02 9.760706563979212547e+01 1.148862682741867047e+02 1.022994654486542032e+02 1.093145419171944184e+02 9.133741924727775086e+01 9.118012478775943919e+01 9.249362200698392655e+01
1.063934844603622878e+02 9.115692072933782697e+01 8.134969757842232241e+01 1.080075363588952797e+02 9.671637938015364000e+01 8.372657756373924087e+01 1.116159846851947179e+02 9.136798548736408065e+01 1.052106615642996985e+02
9.900463357736769865e+01 9.152732295031677268e+01 8.194451254259043083e+01 1.046006683327206446e+02 9.683973831631460882e+01 1.223988823590498214e+02 1.175637552448037866e+02 1.003438843341502320e+02 1.141302151488158643e+02
9.905392728835056460e+01 1.026549389490001545e+02 8.641830623956863633e+01 1.032989079601679094e+02 9.707534458346358974e+01 9.906837478660440865e+01 1.009429529388246323e+02 1.195238951173331969e+02 8.532054158592910653e+01
9.808829090575301279e+01 9.858344665698309939e+01 9.597525192736033262e+01 1.060425516765781992e+02 1.043603007877628102e+02 1.002976914291901807e+02 1.078777510210500594e+02 1.062653075356327008e+02 9.479351988501929327e+01
9.378575576053802365e+01 9.413138635925685094e+01 9.499874163660071247e+01 1.049058886259707606e+02 1.036302683410158778e+02 9.738510353294071820e+01 1.114644070386179493e+02 9.750471448240023165e+01 9.596350363296227215e+01
9.457282830694134645e+01 9.585138642550136012e+01 9.417748123624575385e+01 8.756303671414795531e+01 1.051057027945397948e+02 9.019089682830448851e+01 1.098812343747121787e+02 9.568730259699924545e+01 9.687473398191490048e+01
8.715814817261036751e+01 1.002446918948853636e+02 9.961330290272681509e+01 8.969741823300931571e+01 1.095074204484710378e+02 9.602807835141851456e+01 1.046614851297782565e+02 8.623565519674365021e+01 1.012839445902609015e+02
1.111118657963177725e+02 9.191664203422307367e+01 9.864423565412346306e+01 1.059429178428529355e+02 1.054972257558443403e+02 9.946396360422153293e+01 9.692328366459697975e+01 9.555928030562739650e+01 9.405503482708243723e+01
1.134419028907813356e+02 9.058831237366027267e+01 9.836350540759592320e+01 9.262765524750534496e+01 1.037345782569288701e+02 9.618395065196686744e+01 1.051205125303831807e+02 1.100490196684351503e+02 9.966067731826440479e+01
8.467396862602940644e+01 8.971967740737424890e+01 7.244168302579564056e+01 1.166622585467756892e+02 1.090475523109244591e+02 9.942053351046563137e+01 9.719826892140763164e+01 1.105157825279995478e+02 1.008759041933648177e+02
8.501348760601658228e+01 9.174293141715163813e+01 7.543073330245699992e+01 8.861890082231144561e+01 1.001185305750148302e+02 9.879309841951054239e+01 1.027345976419878326e+02 8.292582312501274089e+01 1.040149274959800181e+02
1.106059594339337764e+02 9.606885617360269691e+01 7.444508661438722186e+01 8.972507458616595954e+01 1.106783614750836904e+02 9.466352940195983479e+01 8.990890639389292005e+01 9.263251807916549296e+01 1.113065958467940817e+02
8.736670855222604359e+01 1.029289170307863372e+02 1.160076521294343479e+02 9.853591583943381238e+01 9.555904242985606345e+01 9.238826074545450240e+01 9.075587930874459630e+01 8.384593475807140806e+01 1.140900902452898293e+02
9.895715744339264575e+01 1.109396717960544549e+02 1.007395588030641989e+02 9.529377395575595244e+01 9.999403476578893901e+01 9.754552241396811496e+01 1.086455200244628543e+02 1.068635173693133140e+02 1.056608623976910906e+02
1.069599940227928982e+02 1.035144225621708074e+02 9.966730834304578934e+01 9.636771014971056104e+01 1.006931471742620943e+02 1.023048058820593553e+02 1.074544869401956504e+02 9.109865496254758455e+01 1.042494343372814853e+02
1.120099235628503891e+02 8.663910935058996188e+01 9.147306601048475727e+01 1.153640623667612033e+02 9.287643760245565261e+01 1.064685421005497545e+02 9.736534584023119976e+01 9.547385287751592386e+01 9.902115395668430153e+01
9.675771118273242166e+01 8.984790073909705654e+01 1.010796092062080618e+02 7.639530465872886111e+01 1.147423841065771910e+02 1.078567384196799281e+02 9.736879808010689885e+01 9.987725896543199156e+01 1.048063570817562606e+02
9.334990287096310624e+01 8.692240751351582162e+01 1.087525973062626150e+02 1.152714634867804904e+02 1.025284979519870490e+02 9.753348701620552674e+01 9.446353709128855769e+01 9.485572277106106753e+01 1.147766255757144762e+02
9.967735574745469762e+01 8.762179977838233924e+01 1.022734864826721832e+02 1.103578278765393748e+02 9.993695261664220197e+01 1.062662590839600796e+02 9.924354984388460821e+01 1.016790524969753164e+02 1.195995748517791242e+02
1.085540242319539175e+02 9.042553296272468799e+01 1.216594404398934017e+02 1.022921893253053582e+02 1.109068914151049512e+02 8.710845872475204033e+01 1.163662445725668988e+02 9.644402825346115549e+01 8.567665460836576585e+01
1.049410749232168172e+02 1.009693045267766109e+02 1.036187432618120425e+02 8.814060127462767014e+01 1.049867745928040108e+02 9.108706604281408659e+01 1.005433228344405450e+02 1.052028712859208923e+02 8.847312651098214076e+01
9.257014903856916987e+01 1.208870100978937927e+02 9.647641752227200129e+01 8.830182740464535129e+01 9.606522147077974694e+01 1.072308961562858229e+02 9.634822898138473590e+01 9.761002210244544131e+01 1.035744086344707995e+02
9.711051261661037870e+01 1.076001054779343207e+02 9.577352376625222519e+01 7.967250395662949813e+01 9.336464741448666871e+01 1.044665653463524535e+02 9.806606885928630390e+01 1.120504804350814823e+02 1.073751044802183117e+02
8.885424766587343015e+01 8.286061199005003175e+01 1.179413205545335472e+02 8.579117958242466102e+01 1.175541025572623255e+02 8.945583709876146372e+01 9.360188569084057519e+01 9.289148951216628802e+01 1.075855614318196274e+02
8.964756010642901174e+01 9.583362575500129310e+01 1.191297062931171382e+02 9.074570575262288230e+01 9.260668444603521721e+01 1.101231540064373178e+02 1.071113880924421977e+02 1.181134798728836017e+02 9.673628082648561133e+01
9.186506851011837682e+01 1.054724578888405659e+02 1.110236807367834473e+02 8.497747838169388501e+01 9.338849811980291804e+01 1.119460215964833480e+02 1.018946877524782622e+02 1.046109711379706226e+02 9.770639598664794789e+01
8.862920547090007517e+01 1.131719150058699341e+02 1.143300997739858644e+02 9.381782716411386502e+01 9.879758095927122952e+01 9.177201113098945484e+01 9.593484022309583281e+01 9.327789814884771147e+01 1.217961701597081969e+02
1.019721720379232863e+02 9.683159801218258167e+01 7.314297470581415439e+01 8.667371947713033364e+01 7.984101398512606806e+01 9.617968182501188323e+01 1.146557817987946635e+02 9.378589824792892671e+01 9.790798090071237425e+01
8.856414622798924086e+01 9.595408188811450145e+01 9.676835497014124599e+01 1.016987194826645720e+02 9.765044297745080826e+01 9.704966115241667524e+01 8.577484940479108388e+01 9.913150639513787610e+01 1.009380927017795244e+02
1.022399467145309302e+02 1.036635861827488583e+02 9.573202553095761402e+01 1.030822899523822542e+02 9.679731738124404217e+01 1.043290132556079044e+02 7.999726879721924888e+01 1.019373255192018490e+02 1.093248171526903008e+02
9.431755874039554044e+01 1.024815227484197351e+02 1.008466794574344334e+02 9.873121099026340630e+01 9.896460425103479963e+01 1.011952023102529097e+02 8.974567559896112812e+01 9.765715620859572255e+01 1.058344180763555755e+02
1.055838856417281875e+02 9.257628364861130876e+01 1.006545320232439877e+02 8.669278181210802359e+01 1.022801598219811723e+02 1.153835157459040630e+02 8.516318436440187156e+01 1.120296276320161724e+02 1.011025919983208610e+02
9.443684996330510728e+01 8.491532031409097669e+01 1.065220208053542024e+02 1.043803103714400180e+02 7.472560330359296188e+01 1.153648486792476007e+02 8.852586722224671689e+01 1.072696750393773755e+02 1.031286670799948553e+02
9.122193536808811132e+01 9.665740065997782438e+01 1.010483373297882395e+02 8.933488531269858868e+01 1.150511070310419655e+02 1.011382079807784464e+02 9.854250188047637948e+01 8.510105720932531881e+01 1.090613288407589749e+02
9.462184256787580239e+01 1.142025233247346989e+02 9.295637117339819611e+01 1.078247966364049262e+02 9.518493635739903880e+01 9.767213293164607535e+01 7.348479119908432722e+01 8.676124640933255705e+01 1.004130140636697064e+02
9.037507506676311664e+01 9.534509072539552221e+01 9.207412505430735905e+01 8.243868617935876841e+01 1.049798540094906230e+02 1.007188927303724597e+02 1.121785946010678146e+02 7.920254255352105588e+01 1.046418812657539092e+02
1.037868279810421086e+02 1.074608226681174870e+02 1.076884986818794516e+02 9.374268699297381602e+01 1.101666697150496361e+02 9.846512939703460177e+01 1.210153001185123856e+02 7.820297454062378506e+01 1.025375082828699931e+02
8.311885484812901836e+01 9.219750576892379001e+01 9.952352139284860755e+01 8.990667878087603526e+01 9.879713216821534161e+01 1.090777010417908741e+02 1.085078753764308885e+02 1.031628405070304098e+02 1.086489009464998361e+02
8.540986984282017147e+01 1.132839424993582611e+02 9.616559507433541398e+01 8.670875802778834895e+01 1.005142408224762960e+02 1.013389933582300273e+02 1.288595378420170618e+02 8.992249816304619969e+01 1.013996876624803321e+02
8.864846803993951596e+01 1.132435652758899920e+02 1.038754797215911623e+02 1.148952752259209831e+02 1.000001235998633575e+02 1.031447341877789938e+02 1.180609955093505903e+02 8.730255093986900761e+01 7.280492103110040603e+01
8.708243918248925297e+01 1.149559644987097045e+02 1.036443719301184103e+02 9.776628338021656361e+01 9.943090786252994917e+01 9.904048222798165568e+01 1.095344021650276005e+02 8.259440621444292674e+01 8.469821300440425205e+01
9.412010382276582732e+01 9.274003597802888521e+01 1.014723232486835798e+02 1.053085399079467663e+02 1.103593709411864552e+02 9.698705323500331588e+01 8.800956540208552781e+01 1.141989090153415418e+02 1.039383093171436769e+02
8.734736934034151545e+01 9.364235400003772725e+01 8.643311559182690473e+01 9.758586925329160522e+01 8.857345307130582057e+01 1.019512679934583446e+02 1.029300329240137728e+02 8.974503349928652085e+01 9.280221418903964548e+01
1.070697266261412750e+02 1.035968025131860770e+02 1.139631270723598107e+02 9.933149102375946882e+01 8.976315158198897848e+01 8.934760910106773224e+01 1.059244317912899760e+02 9.592098651398430320e+01 1.117807984109944073e+02
9.420912817956516960e+01 1.107916612631215969e+02 1.152169728554413126e+02 1.042301391367661125e+02 1.168600246612602405e+02 8.595812174910177816e+01 9.184727225385771021e+01 8.226746024479862740e+01 1.038606236907256459e+02
1.014360261513578791e+02 1.166398684115890489e+02 7.685536405761781964e+01 9.042001568146375234e+01 1.194290340765294047e+02 1.007555682222226920e+02 1.126215343114480731e+02 9.087342088099873649e+01 9.823938542771158211e+01
8.863978722726970716e+01 1.054825382127771149e+02 8.835405422290111233e+01 1.124648725647222420e+02 8.879836086016771901e+01 8.316979353039701550e+01 1.097052311930670214e+02 9.643372489671104120e+01 9.481282875828111401e+01
8.703326454491153186e+01 1.018699061379639375e+02 8.836836013354788122e+01 1.113826738664890854e+02 9.713987681400074337e+01 1.111177016254077614e+02 8.986966730960060090e+01 1.106251643225491534e+02 8.926107943340328177e+01
1.152666505632302858e+02 8.746644220225932997e+01 1.141668351840250750e+02 1.097697835584294808e+02 1.198038628438224009e+02 8.508916772343938817e+01 1.045199597045721163e+02 1.074663372583698049e+02 1.071133718348247328e+02
