word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	word.concentration.8	word.concentration.9	
9.795130457773323585e+00 8.541982991302017325e+00 4.181110078571366628e+00 9.249547256648394722e+00 6.419441892833900098e+00 8.378917425429252219e+00 8.133105942767665297e+00 5.943916972858471759e+00 8.189599443047082872e+00
8.954481620204781223e+00 9.183276785841410828e+00 4.745886442547457840e+00 9.848814961125233580e+00 6.475274825236086329e+00 8.729176962692394071e+00 8.181335044324562489e+00 5.077155115346783987e+00 8.629287558178079465e+00
8.769195710792372367e+00 7.773452686921823229e+00 6.280171091970718322e+00 7.813577421361605602e+00 8.105483076903517770e+00 7.789321938172431459e+00 5.442580512833207429e+00 6.398532700538564377e+00 7.787598509913902234e+00
8.971135585118581446e+00 9.768034224206978422e+00 7.144498897246178259e+00 9.579612110155071747e+00 7.057180149955433635e+00 9.837915371494885264e+00 5.911504304275253752e+00 8.066217587256307553e+00 4.527136406442345162e+00
5.805325868808752787e+00 8.346674617338580404e+00 4.843213495552698866e+00 9.771531148594640115e+00 9.896885255648228963e+00 5.876647924986760252e+00 7.180073199740069079e+00 4.763854785611160381e+00 9.400909403861710700e+00
5.296033219479070020e+00 4.234390416775130284e+00 4.405979559544744184e+00 8.056911960727346056e+00 8.728039360022325610e+00 5.664679055846495892e+00 5.338432166613504393e+00 9.031710664851489767e+00 8.204831614914922966e+00
8.567134756335885726e+00 7.743072806711350786e+00 9.436401663488268809e+00 7.968648853053307946e+00 8.503219006495102761e+00 9.112659921852083400e+00 9.182274671980866998e+00 9.694272812779523463e+00 8.446934709509156036e+00
7.538838989550792569e+00 3.927831772702483182e+00 9.674040832574359428e+00 9.275014410130003384e+00 9.108784630561519435e+00 8.503247712971521821e+00 8.921868969110120062e+00 6.424726682165447400e+00 8.620492837521521068e+00
8.764749110331655046e+00 8.674444710417631654e+00 7.128772260999672206e+00 6.879025560842954690e+00 8.966373331997232299e+00 9.340419681480362613e+00 8.197991095263443384e+00 5.452560439588992836e+00 4.117667640013389807e+00
9.421751477429383570e+00 7.762483953113497037e+00 3.041433496570685069e+00 8.441762114241685211e+00 9.949880198139853249e+00 8.512829313899738182e+00 8.923351589031897291e+00 9.250119809678803762e+00 7.525831026373277055e+00
7.922680000487060781e+00 8.854094646472567831e+00 3.114008732717118644e+00 8.477149056339163380e+00 9.621283489940131162e+00 9.134147911626552485e+00 7.243226472391249615e+00 8.176317014361092816e+00 9.422121696439361926e+00
6.803866339863398949e+00 7.496946977827612102e+00 3.512900026651110785e+00 9.007732320534847403e+00 6.677417737098737760e+00 7.596700315031791106e+00 9.290758549825987700e+00 9.271661167828966654e+00 8.698720436540437362e+00
7.110517122157440362e+00 7.021433073301372119e+00 7.309329912754167324e+00 7.016383690100264303e+00 8.598211699007148212e+00 8.077090140757633208e+00 8.550676142272456204e+00 7.834033096084469960e+00 8.893302059405561621e+00
6.094750418995228181e+00 9.245120853284275242e+00 8.977545154766334079e+00 6.935145949380045138e+00 9.196899915176128815e+00 8.766149372462860967e+00 9.310517718964460343e+00 7.748096498566660273e+00 5.223435990658781947e+00
8.531849732453537172e+00 8.264354985496032313e+00 7.659116241504295708e+00 9.470826102370438093e+00 9.855152454504009896e+00 9.336097997753631361e+00 8.826581406166992494e+00 5.942514001493852227e+00 4.610079257921226414e+00
8.099585016210690824e+00 8.033436920825703709e+00 8.608519306864398146e+00 9.677745561466661428e+00 9.028805805325358591e+00 8.064161041298543608e+00 9.604828313337073098e+00 9.233577502181709917e+00 6.467252099684698941e+00
9.344962546822042526e+00 9.272458657600674670e+00 9.220645593474550594e+00 7.133490088587317146e+00 9.071262554669020872e+00 6.153007938368627805e+00 8.197241611668051320e+00 8.961167450699351278e+00 9.773547595909192864e+00
5.735611035668494395e+00 8.771886094463386740e+00 9.019051460878555915e+00 9.827754614160008728e+00 8.847122123901911550e+00 4.938276619192716765e+00 9.042264711739427696e+00 8.875847263827315814e+00 6.580518303374036648e+00
7.448863905332304469e+00 8.261525113333526349e+00 7.718649387370541959e+00 7.453688650903442792e+00 8.451083536214939684e+00 6.528601783023981753e+00 5.118824348661637380e+00 8.880878585669778502e+00 9.342353081025589034e+00
5.582136208146442513e+00 6.319998159596311282e+00 6.704154008928891351e+00 4.766463793399742244e+00 9.590483446386283362e+00 7.909965025260207838e+00 8.407329926855382496e+00 8.550258090234095221e+00 5.769155795671397691e+00
8.936425338785330297e+00 4.560554192998161227e+00 6.310268420432380232e+00 6.285519311558438460e+00 5.846062992679279091e+00 6.645999241393401924e+00 8.938772899004005623e+00 6.698297537493552944e+00 5.528482677204312523e+00
7.138617004087566720e+00 6.726503622178993780e+00 5.522147021216113671e+00 8.282541815881844016e+00 6.472553860362205036e+00 8.173873758017551339e+00 8.989157480899475416e+00 8.089215834565553820e+00 9.044887856878666810e+00
7.474906174922290703e+00 8.173235348770145237e+00 8.095915578919250066e+00 6.683818603732295749e+00 9.058960520022171892e+00 8.255828234255886855e+00 9.285986008057719232e+00 9.330845477046400660e+00 4.376268686921674700e+00
9.155167152928759933e+00 8.264949161463837513e+00 7.550447918554024973e+00 7.932140074283261733e+00 7.527076856919801884e+00 8.997695234759129690e+00 9.916914250491323912e+00 8.110043861900619433e+00 6.081972287952575940e+00
5.539624016837024101e+00 9.230309890870184830e+00 4.655646672933853480e+00 9.988549294161689573e+00 8.242888098989499923e+00 7.216476762653877941e+00 8.609806508478229148e+00 9.527660344350065813e+00 8.795156700861266330e+00
9.155955743402728331e+00 7.894448915396237609e+00 4.776211811242041527e+00 8.462449516331849608e+00 8.064866393299428893e+00 6.284299316766284171e+00 9.514416870274995830e+00 8.399298151006833635e+00 6.205028456622218691e+00
8.548690768163426768e+00 6.856704264649588154e+00 4.403885618055932483e+00 9.231966210988131749e+00 9.842998817234366982e+00 9.255079094076453572e+00 7.508802512529353379e+00 8.780783609290384817e+00 8.654501994776707008e+00
9.382576126173978182e+00 6.968107899303786823e+00 4.839245769350095649e+00 7.678812148165484075e+00 3.760037558728269946e+00 6.625324646534457074e+00 7.726062616835760011e+00 7.549844465670118687e+00 8.544411057550775013e+00
7.392231099658610916e+00 7.756911053738346773e+00 6.932923126576389983e+00 6.211703593148365066e+00 9.869925045376332307e+00 5.533614579377656995e+00 9.775971485219033141e+00 9.435808636325516474e+00 5.208527227537730120e+00
4.896884332400377460e+00 9.964535399912708868e+00 9.450630541711483090e+00 5.646924761638077328e+00 6.510664237203886984e+00 5.904439324670772926e+00 9.724868617870153997e+00 6.896847800913595172e+00 5.295383354317530156e+00
5.587860076723907277e+00 4.157016536138175233e+00 9.293075713168581942e+00 5.949152652009862763e+00 6.521851728038356555e+00 8.540333610295657962e+00 9.690623763554683023e+00 5.949478714947887603e+00 5.892654947826304834e+00
6.389338610144102759e+00 6.206973881740786680e+00 8.072092033941878242e+00 8.198213593103705676e+00 5.306348225196395596e+00 7.909319693897344017e+00 7.675921374153231724e+00 9.221924522836882687e+00 7.598342617516307129e+00
8.202895746733910087e+00 6.877423062451543778e+00 6.754758955684187605e+00 7.412285030619459647e+00 6.063688549074295331e+00 5.243172483278951468e+00 9.048865237544688966e+00 7.243076870789199262e+00 5.529916139822203647e+00
9.012857148222879644e+00 9.905649433323805653e+00 7.332074884575450646e+00 5.450695805711756492e+00 9.742284590719222592e+00 6.744103616584130378e+00 9.527894162013147650e+00 8.845928251090604988e+00 4.631533468696241940e+00
8.863529477044332694e+00 7.858060917416717750e+00 7.080207372697369550e+00 9.290623016107442567e+00 5.301963497171790607e+00 7.130023372204901122e+00 9.590809472809416647e+00 7.029116110754265456e+00 9.777687098706531188e+00
8.477104050305268146e+00 8.807264020613576605e+00 7.639283583341630823e+00 8.474484587665608970e+00 9.699048454439321176e+00 7.238718171315547067e+00 9.982196001554230591e+00 5.257113006133422139e+00 9.722999206134558037e+00
8.880658088142599382e+00 4.656821663851419046e+00 8.913419262674318944e+00 7.485471649631405100e+00 8.957565332691025617e+00 6.890985521293916172e+00 8.466336912499986767e+00 7.727722698457847983e+00 5.847312230025314861e+00
7.924319642926088925e+00 9.435508262694281001e+00 8.590704069778272611e+00 9.379723900758939692e+00 7.520641258855762956e+00 6.268086794020743646e+00 7.472722911516136435e+00 7.786467184009260301e+00 6.023978789290851843e+00
7.286968949567858012e+00 9.422572341750264258e+00 8.307000950982123655e+00 9.757336544483523610e+00 7.932973307845044175e+00 6.940348641891405990e+00 8.982685172070899782e+00 4.960275182540109462e+00 8.985755562427332421e+00
4.158754659314655378e+00 7.864082103841840699e+00 6.629564809100276790e+00 7.521195492074205902e+00 8.443331483035102281e+00 3.606900906223216019e+00 8.466985450164770555e+00 9.343276440108189362e+00 7.985045786648381494e+00
4.333001036490935043e+00 7.820121994397740472e+00 8.510459707130253904e+00 7.549944543649232287e+00 7.656475567398606685e+00 6.748455540528035534e+00 7.768177744620738068e+00 5.488864071643541287e+00 8.218651262152194548e+00
8.580455003611367815e+00 5.498575809752093591e+00 5.964107978708344859e+00 8.986960127720619695e+00 9.122973479422388010e+00 5.908946601823771516e+00 9.489161428285404654e+00 4.242626522300951386e+00 8.813205022213178808e+00
9.221964866111264314e+00 3.958061581347247948e+00 8.634476520624012608e+00 6.145022187829397353e+00 6.941258727538835771e+00 9.018551553161399781e+00 5.052461429001281701e+00 6.357308211276837540e+00 4.395343313613207847e+00
9.123930505489605380e+00 6.810889773988268558e+00 7.707627342131184278e+00 8.282031815121689178e+00 6.466866316411405080e+00 8.329085599613296864e+00 7.801941875501364976e+00 4.505746007698395061e+00 4.015993668947755779e+00
8.395566602936186840e+00 9.579197275315424420e+00 7.522961197636639952e+00 8.583291683591738774e+00 5.363325759452316710e+00 7.106063371906195414e+00 5.992123490410559583e+00 4.442962432656234917e+00 4.418209708854590190e+00
5.387822519338288707e+00 8.615745586782535881e+00 8.716818221940595635e+00 7.294186469936582817e+00 9.037689022800730498e+00 8.210531456624641677e+00 6.010356981451340452e+00 8.336333506969527463e+00 6.148638836562918542e+00
9.601214303358181823e+00 7.102589588592667091e+00 8.040803707096792152e+00 9.655527454127053488e+00 8.390846074410898581e+00 6.669192507593063368e+00 9.016395397891587393e+00 7.928454815274085021e+00 7.046794253613235526e+00
9.428675465704756675e+00 7.164107597948954798e+00 7.028968256994716057e+00 8.017773418773604277e+00 7.170524847129123636e+00 8.591268447804893071e+00 9.155624010324519446e+00 7.102146038526917060e+00 9.584412203961749199e+00
9.955283725272526141e+00 7.612761658804778619e+00 9.460661112400760686e+00 6.703366925631810247e+00 8.816579255455971875e+00 7.727129263279580051e+00 8.364290667315408712e+00 8.931883719273136180e+00 6.800638701951234211e+00
9.354261407136565509e+00 7.076281691730160084e+00 8.361295391245402442e+00 8.430029346815334890e+00 6.485704066100220544e+00 8.171176383694854550e+00 7.370847258733163265e+00 6.549939456704427343e+00 6.457580508944170461e+00
5.521242147133287759e+00 4.231231066207230995e+00 8.800077538206815930e+00 8.847090890757801418e+00 9.447772279363672254e+00 9.763665582076772154e+00 6.120203466163907535e+00 5.876079002110715876e+00 5.530842244961859500e+00
9.584978803556111870e+00 3.722559592200570755e+00 8.485336164330705699e+00 8.065604010667188462e+00 7.963316028477552599e+00 9.477729715479755512e+00 8.028239558449920210e+00 7.264284918939681646e+00 9.709425500639472517e+00
6.517064376489094535e+00 5.753091490204127467e+00 9.460574207412520309e+00 8.359496153187953027e+00 9.798555934927225763e+00 7.741940293607665780e+00 6.256173959658457129e+00 5.640124097483266041e+00 7.273560864732883324e+00
9.586202691925995722e+00 8.283030473620952350e+00 8.191193431785144696e+00 7.456959801835361112e+00 5.961488731673691532e+00 9.724574330715814341e+00 6.264562944533272670e+00 5.607438234859469794e+00 6.846688898182651251e+00
7.827975331928252345e+00 7.432657457790698530e+00 6.745027418305344469e+00 9.902815258667185816e+00 8.772476904867387404e+00 9.191832987807979194e+00 8.555048906368938333e+00 4.963685181755845832e+00 5.797099435954668145e+00
8.778951368184044313e+00 6.090171653120004081e+00 5.775254778221613705e+00 9.203889513580373105e+00 8.070003088151571191e+00 6.432224067153315517e+00 8.393701287153442436e+00 5.139506728175298633e+00 7.518978970710166188e+00
7.563322050475584035e+00 9.914384543287827256e+00 4.582980778769958796e+00 7.700398935280858836e+00 6.247873294157142432e+00 6.144122257707481438e+00 7.853537371292034663e+00 9.228801336525664922e+00 4.415372959945297104e+00
7.110711090973374837e+00 6.908920255539523936e+00 4.340865940072482054e+00 4.593999860978228433e+00 5.261668484287601366e+00 6.630199726090491907e+00 9.560768048137692432e+00 8.114824710043109235e+00 4.359066737627676602e+00
7.898447351162498187e+00 8.297811342034023596e+00 9.117106722537966945e+00 5.381793241046045395e+00 8.029988229153470769e+00 9.447114755568666311e+00 8.539888612502867460e+00 4.950877020294116804e+00 9.462466680829296095e+00
8.629988250910960446e+00 5.991780200479392526e+00 7.759302562563277661e+00 9.976468962581776623e+00 9.480249969013726741e+00 8.866651578874389372e+00 7.654816572596248037e+00 6.644933205036609003e+00 8.483080477603291314e+00
9.223787666451793044e+00 6.191409532994783582e+00 6.235128050855974102e+00 9.505175010762439314e+00 5.303903408270951303e+00 7.710963868985762915e+00 6.741986649858676905e+00 6.839995823099206618e+00 7.042143433885245329e+00
8.570684745606897081e+00 7.001229770858893531e+00 7.802708161079770832e+00 4.097229010083678347e+00 6.869255290404083780e+00 7.050125428255271665e+00 6.650268262490043547e+00 9.425137637961210402e+00 7.281127141108209244e+00
9.670449279718829061e+00 9.030115415052309302e+00 6.812764306093059830e+00 9.420719491015830727e+00 9.034736281376169131e+00 8.956642106521895741e+00 6.468861789689819730e+00 8.747709539570342585e+00 8.821405920959183078e+00
5.660235807766170524e+00 9.229499945781986625e+00 8.026393055368989948e+00 8.182731308946531001e+00 9.439098564311443340e+00 9.946217917796085217e+00 9.131030583725477712e+00 7.256237195357908121e+00 7.825014731890311381e+00
5.406482659736571605e+00 3.980107881320101182e+00 7.983396312024681585e+00 8.745474154329693661e+00 6.390242638494306071e+00 7.811249647689991527e+00 9.785009999536459446e+00 9.106199005858798046e+00 8.544289990289444248e+00
8.158113562072898617e+00 4.756805202286120249e+00 9.164997272562475317e+00 9.447157389216771506e+00 8.765302551040232260e+00 9.558874641909939740e+00 9.682364860949169483e+00 7.987054425948183045e+00 9.527651470478968321e+00
7.867892748972153960e+00 4.860082970244081757e+00 6.965212090178338755e+00 6.131507176375059487e+00 5.168166999282601815e+00 6.971201294887428013e+00 6.384437345495833860e+00 9.017692981851199718e+00 9.119613691274976119e+00
6.501879961527891716e+00 6.414768692217021950e+00 8.621853498754369127e+00 5.488319917013895655e+00 5.546015114582414363e+00 8.585228961456902397e+00 8.316546134623221675e+00 8.439400691370632757e+00 7.467572484800373722e+00
5.504776629030908808e+00 7.879720783869246681e+00 7.208918125013279443e+00 7.865434154606711914e+00 9.355408866460194872e+00 8.364536355435948423e+00 7.159365373681243483e+00 4.875559512343819790e+00 6.195418188317127317e+00
6.800227857284154354e+00 7.254103902391591419e+00 6.840173057938548240e+00 7.798626017538770050e+00 8.044111346457667011e+00 9.487136991803728492e+00 6.211578153173850758e+00 6.020932341491999296e+00 9.073732064386771157e+00
6.115601648738796747e+00 5.927474187592346233e+00 6.263018524194531977e+00 5.302255547118222445e+00 4.562276220829637019e+00 6.614837469272456083e+00 9.197319179546754597e+00 7.306325565039453629e+00 8.316114506929771721e+00
8.158856478517169108e+00 5.288023012242957677e+00 4.590517648748143387e+00 8.791084036045134553e+00 9.131372499663624964e+00 9.538251211792832862e+00 7.890319456906967233e+00 9.505218867209066502e+00 5.157890229040416941e+00
6.621510245472496337e+00 3.479012324524535238e+00 7.938104844711322272e+00 9.554946075133770478e+00 8.818809552193021872e+00 4.262359422611364579e+00 5.590022117916650046e+00 8.913185452106029416e+00 8.974919748007916809e+00
8.952228676047871758e+00 8.239823376056449433e+00 8.455641220603659747e+00 8.054794144622563934e+00 8.881736708700543659e+00 9.936615163939594098e+00 5.585936276289001690e+00 7.064075836629204019e+00 7.974502508078097129e+00
7.554371761956869769e+00 6.832034151870633565e+00 9.504369348039821475e+00 8.250840340019042429e+00 8.839732118319702181e+00 7.910642611976805405e+00 5.171373940182964368e+00 9.787397831116461333e+00 9.374438129565643152e+00
7.335504821591509739e+00 6.835631452016052378e+00 4.533834334009021916e+00 7.989045026428360785e+00 6.561466797891721825e+00 5.231885597910277852e+00 9.641650148456820446e+00 8.957006502501618783e+00 9.003228588133982413e+00
7.855980383565087877e+00 9.592295377352810348e+00 6.677658622864923288e+00 8.391525988394887392e+00 6.513062283116861195e+00 5.984756755905138448e+00 9.008804510701537538e+00 6.543656768596051165e+00 6.752657809879019979e+00
7.302781927126644312e+00 6.951153574904902044e+00 8.404251092167656978e+00 9.134666548318055135e+00 8.229425494338075353e+00 9.028807214371953549e+00 8.775729946022241990e+00 6.406986345995797194e+00 7.274744083278364748e+00
6.387806706425219083e+00 6.520618468461055528e+00 5.533337964486909399e+00 8.904217279591250644e+00 8.778891416619336141e+00 7.407716306535250261e+00 5.579242189481849579e+00 5.003775205496806322e+00 7.358264058072886193e+00
7.092020392452812239e+00 5.662773562782495773e+00 5.385555137869086018e+00 5.361960519987547968e+00 7.894220321947841512e+00 9.115488653382584516e+00 9.353284378775031271e+00 6.183792309992122149e+00 6.654701263315221382e+00
6.614183432584878730e+00 8.672471876923630418e+00 6.392617867410340438e+00 8.867729185763463917e+00 9.393455815808010811e+00 9.159695174936468121e+00 9.824007738034962856e+00 9.252302240477625617e+00 7.559392972057968230e+00
6.718449290512440442e+00 9.877231087779094310e+00 5.866213409005617940e+00 4.708510648488928751e+00 9.066174600206323930e+00 6.124546096389439143e+00 9.290676216019328137e+00 8.629251802936535043e+00 7.338237607482211544e+00
8.173004052969710997e+00 8.349681754641999021e+00 6.061069653313335692e+00 9.309449357393722480e+00 7.218522472616983876e+00 5.421392459214337656e+00 9.085109803894017233e+00 8.221448065178245557e+00 4.205446906391594908e+00
8.771701839700062564e+00 8.263001039130399406e+00 6.928461272401870374e+00 9.773867641013220364e+00 7.894854386260774071e+00 8.945358999510801823e+00 8.978888022480218112e+00 6.370976802607738243e+00 8.153554969430551580e+00
5.287173027354325150e+00 9.324910565561935982e+00 6.468127418593787148e+00 6.750315879456701751e+00 9.502243887951987489e+00 9.413473753489551399e+00 9.409706952066702712e+00 6.138983095416755020e+00 8.146210904660902585e+00
8.582290349182553513e+00 9.809864081163700789e+00 7.115055454558188330e+00 3.848270981577383676e+00 5.141818219434286519e+00 8.007769542074502311e+00 8.665103289392099839e+00 5.958399019005951480e+00 9.915296612016081923e+00
8.275065633989086678e+00 7.789615591431420683e+00 5.706674627007813250e+00 2.727537300607704385e+00 9.273041067618351008e+00 9.215140700051854594e+00 9.114235785392121869e+00 9.438656175879135191e+00 8.539342086709639901e+00
9.704994573156241700e+00 8.128307131822104736e+00 7.571044909378232823e+00 6.333868790098750701e+00 8.308730243357425493e+00 9.416203923481502258e+00 9.882049691688649773e+00 8.600255782706566876e+00 5.340939433884070553e+00
6.347121708954713171e+00 8.291005643994070695e+00 8.652138702791988933e+00 7.994013444420374981e+00 8.298268220215138768e+00 9.202421046204145583e+00 5.159832649623547596e+00 9.979325098262606275e+00 7.417666424052863583e+00
8.590545490544867491e+00 6.555674968515377010e+00 5.845938386487478766e+00 9.455857694319046658e+00 7.218099870733357903e+00 8.390825105147843743e+00 4.140812178325585791e+00 4.318794570040426883e+00 8.024273479463168712e+00
7.360828030087737339e+00 7.805362753620154415e+00 8.578657699448937635e+00 8.523562255510503505e+00 7.868013302206310122e+00 8.321009810601074363e+00 8.277480084574637687e+00 7.933486110363267230e+00 6.257180309581864996e+00
7.076053097334918718e+00 7.066683907697297151e+00 7.687610334375374777e+00 8.535023821133311372e+00 8.365266510903197172e+00 7.957467830108933882e+00 6.100304582082448412e+00 8.960380505512908655e+00 7.390256224120581585e+00
9.427447622401274430e+00 8.383615220522521838e+00 8.999049154986646926e+00 9.126775419300297898e+00 6.541219532056742558e+00 7.779086253384367211e+00 9.671931557568331783e+00 7.446325105129728783e+00 8.476660492932941438e+00
9.384203946279651376e+00 7.925491191770328570e+00 9.726186123278887763e+00 6.020406649104277363e+00 9.160654433327508173e+00 6.252132611953998165e+00 6.541868114495619224e+00 9.784993963500838277e+00 9.027969561318249347e+00
6.698009771433468096e+00 6.496280794041313200e+00 6.738641311421974756e+00 5.783607920031868410e+00 8.824390926305497374e+00 6.702732843603026680e+00 9.296146764512533522e+00 9.722793673202104969e+00 9.274000457651688123e+00
7.691860483573655038e+00 6.840882477117416371e+00 4.626383125385001627e+00 8.512818816430261393e+00 7.692538945000863215e+00 8.576683612039731841e+00 5.439236305258361881e+00 8.376625667697345179e+00 9.989712707104990486e+00
8.945767700668158184e+00 8.879193724834156143e+00 7.618587115241880703e+00 9.199938802747961830e+00 7.589290427183312815e+00 8.120515468495510092e+00 9.682798589955927682e+00 8.474933415143475202e+00 9.165304959899831516e+00
4.693166088466734109e+00 5.949897327483687270e+00 7.907213419295292312e+00 7.831290902498617257e+00 5.956548530176029033e+00 8.813848638753317033e+00 8.775757301520094700e+00 9.638291456574474836e+00 8.106892110352852399e+00
4.532236632470485915e+00 6.415566872978332391e+00 8.901699397383717738e+00 7.646739822277658583e+00 6.694035976572486391e+00 6.981029473916170680e+00 9.949962273881981289e+00 7.767581432189242463e+00 9.571689759044486934e+00
8.638289279334674831e+00 7.395248191583076114e+00 7.335391758848311738e+00 9.596284465257216567e+00 8.672057080329176770e+00 6.938033220399407064e+00 8.316316604875837015e+00 9.149899281777127413e+00 7.095917774195420691e+00
9.372890226618880050e+00 6.604459274975634564e+00 8.462908621053765401e+00 8.269477438985511242e+00 5.881742785125163131e+00 9.592362304806194118e+00 7.890688291244381425e+00 7.513444867578545683e+00 5.079781694509540202e+00
4.122295294099593832e+00 6.878521029970615430e+00 8.471521996594772119e+00 7.574810183792164864e+00 9.163387552681953707e+00 7.050734435632413089e+00 8.630489079187952939e+00 8.689310826253525022e+00 4.948009722322890269e+00
4.070089464332806273e+00 7.264505822899893772e+00 9.428034098131174545e+00 6.543433422707849445e+00 3.203471784854023507e+00 8.468374988097277623e+00 7.413123994319450460e+00 9.946077620999133728e+00 6.557843678906106533e+00
4.077379477388235252e+00 6.739793967975401756e+00 9.279665670632313734e+00 6.525701447054372828e+00 4.905451503795120516e+00 9.293669481797612875e+00 9.843152590585718897e+00 7.336366928698566880e+00 8.200336101349787299e+00
7.814863269618709474e+00 7.520713987542087864e+00 7.823922292029084069e+00 5.393946945932392545e+00 8.862857085601882901e+00 8.504527125109742514e+00 9.560724873877179064e+00 7.662862957658280294e+00 8.522364531306727997e+00
4.986041086208516049e+00 6.350025794234521292e+00 6.806500043309602788e+00 5.793270429824194601e+00 9.532519672088033857e+00 8.607433930213391093e+00 7.871669790018972712e+00 7.905248408580900943e+00 9.161331925818116062e+00
4.686477702292405567e+00 6.143824538342590458e+00 5.636088535773914998e+00 6.030670507443927519e+00 7.151372955151082067e+00 8.342759121783490883e+00 8.800011919994442877e+00 8.993654807313889776e+00 8.031729519055209821e+00
9.529188411111103818e+00 8.477565726388705869e+00 7.038745353531014715e+00 9.223039428611794932e+00 7.833820398934874696e+00 7.255621050498427316e+00 9.127568818427763020e+00 6.662496981623720060e+00 8.858054827665698738e+00
7.380277796532118018e+00 9.621747507473036976e+00 7.003717438169507759e+00 5.621930570630224722e+00 8.381241721364338204e+00 9.248116273173227597e+00 6.038873642011729714e+00 9.947331811203273588e+00 9.008466235091539431e+00
7.300315103952347506e+00 7.244858978610636768e+00 9.013924289381757049e+00 4.861349185279052243e+00 9.046884074064426073e+00 8.871798433121901084e+00 9.236972609716518789e+00 6.281501911874187272e+00 9.033524263226173190e+00
9.113890890452239546e+00 5.999888696240684993e+00 7.979507462257148021e+00 7.129789536246693871e+00 7.228960334708804503e+00 9.079062554729294021e+00 9.113997234009246995e+00 9.956836104002752208e+00 9.017632903462391880e+00
8.307009029706502901e+00 5.205595676394599636e+00 9.122235180318948977e+00 9.158026534599789770e+00 9.485447315768629650e+00 9.624110882387375554e+00 9.227034408970443025e+00 9.979750108857755819e+00 7.694314687424329335e+00
8.092432791968526828e+00 9.707954108374821089e+00 7.478979286401510329e+00 8.516809601074875502e+00 9.777064704371978721e+00 8.897266627556769336e+00 6.459133275417103803e+00 8.619469134504408103e+00 9.170213243182599783e+00
8.934600223645075445e+00 6.511177634734798936e+00 8.194579068995874849e+00 8.107961427841622992e+00 9.735848076250196215e+00 7.423025071037431033e+00 6.438539290371715573e+00 5.819898297502819950e+00 8.894319205142481977e+00
7.380207226319864589e+00 9.172907510333805803e+00 8.407178691663773407e+00 6.443314413790462325e+00 8.211417700113404550e+00 9.125204256758634003e+00 6.026177133105425909e+00 9.616597888044857712e+00 8.812589966814234899e+00
9.550941003273074159e+00 9.944718881742817373e+00 6.680797628415446887e+00 5.565312658000241441e+00 9.919932437248682788e+00 6.066096105790462545e+00 7.536116665930157943e+00 7.104117212034290141e+00 9.266687429511845764e+00
9.554428144023471958e+00 9.302448664213743612e+00 8.059516811212684928e+00 9.583204908659006094e+00 9.117000062075675260e+00 4.032772452603250457e+00 9.272686108948938966e+00 5.763240116095237120e+00 8.677807522803428597e+00
8.623162781689183376e+00 7.309736938260923189e+00 7.151932708091267799e+00 9.607292713594510758e+00 8.463257390772159994e+00 8.528451117052021857e+00 7.879923797611201763e+00 8.311751749236945486e+00 9.045908417574457516e+00
9.856735389706338779e+00 6.375659123495132974e+00 6.532643464992879956e+00 6.104246634849955555e+00 8.800219319412512675e+00 9.288122527882599400e+00 6.065685658040535166e+00 9.829519187728983809e+00 6.974852823023589998e+00
9.680513301223591327e+00 7.341577962310196881e+00 9.041690553865763036e+00 8.015548942659224352e+00 8.421342258984859441e+00 9.587528565382960721e+00 9.040746651829170588e+00 6.667232346191324766e+00 9.118273859523338132e+00
7.462500949901617275e+00 6.991896881671608277e+00 6.074856655510655123e+00 6.259840259571361365e+00 7.760913370444768589e+00 8.973096311353071286e+00 8.187033862133910489e+00 7.689210180413337703e+00 7.947766880940950962e+00
8.262500915201441032e+00 7.222746061669576889e+00 8.810669716957990616e+00 9.378919833704324915e+00 9.632110368958592517e+00 9.468475502675685718e+00 5.432768676524091234e+00 8.180109550592234768e+00 8.191436151319258840e+00
9.765884216994614064e+00 8.329226775063368393e+00 7.487081817243681492e+00 7.580724051048810530e+00 6.903398588357919863e+00 8.762887599224422175e+00 8.072921409051030395e+00 9.194242168484839439e+00 6.754500232700967111e+00
8.270315577562428189e+00 6.244786156538779665e+00 6.906714539176970646e+00 9.614677812292208969e+00 7.856072301465867547e+00 7.889050112373126034e+00 7.183729889225900500e+00 7.985473258560968901e+00 8.334976846559388974e+00
9.921478172829768738e+00 5.449313282763028177e+00 9.142149948673933935e+00 7.229294448589883793e+00 8.684874271470651053e+00 8.633641385012248648e+00 9.040050407165246327e+00 9.238999262572454185e+00 8.022763089027442618e+00
8.203408875059929883e+00 4.590363793666536019e+00 5.781758021878998122e+00 7.341143925480199783e+00 9.820563525266079452e+00 7.038215521005289688e+00 8.287357224836956249e+00 5.425203712163566117e+00 9.183825370746665939e+00
9.213631933709608646e+00 6.419092898571640227e+00 6.971236727155368129e+00 7.149522137531955757e+00 8.489805169286162467e+00 5.983447038314616329e+00 6.470291788425209134e+00 9.937280214866531125e+00 8.845104140408430737e+00
