word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10	word.11	word.12	word.13	word.14	word.15	word.16	word.17	word.18	word.19	word.20	word.21	word.22	word.23	word.24	word.25	word.26	word.27	word.28	word.29	word.30	word.31	word.32	word.33	word.34	word.35	word.36	word.37	word.38	word.39	word.40	word.41	word.42	word.43	word.44	word.45	word.46	word.47	word.48	word.49	word.50	
0.0208582 0.0199057 0.0197849 0.0196385 0.0197302 0.0204848 0.0204943 0.0203370 0.0195205 0.0202770 0.0203881 0.0201223 0.0205907 0.0193507 0.0196712 0.0201414 0.0205999 0.0194811 0.0199672 0.0192002 0.0200532 0.0197164 0.0193986 0.0199694 0.0206751 0.0193175 0.0196121 0.0198853 0.0202900 0.0208014 0.0197395 0.0199615 0.0200046 0.0193072 0.0202468 0.0201633 0.0197354 0.0196389 0.0198816 0.0196652 0.0194719 0.0194906 0.0205724 0.0203055 0.0203477 0.0205398 0.0199630 0.0198524 0.0204058 0.0204441
0.0198024 0.0200855 0.0199030 0.0200203 0.0198513 0.0192462 0.0195103 0.0200970 0.0201369 0.0202746 0.0199354 0.0204899 0.0199231 0.0199673 0.0205868 0.0193512 0.0192554 0.0195695 0.0200241 0.0193436 0.0196158 0.0195440 0.0197972 0.0202810 0.0190476 0.0195900 0.0202633 0.0206275 0.0204117 0.0198861 0.0202324 0.0196340 0.0198677 0.0204504 0.0217255 0.0204453 0.0200783 0.0202471 0.0207118 0.0205155 0.0196419 0.0204480 0.0183011 0.0200986 0.0197951 0.0208116 0.0200778 0.0204142 0.0201395 0.0199259
0.0209494 0.0202498 0.0199871 0.0201509 0.0201596 0.0198873 0.0203129 0.0207739 0.0206030 0.0201463 0.0202014 0.0207514 0.0192494 0.0201264 0.0193574 0.0191319 0.0193828 0.0196053 0.0206793 0.0204817 0.0198625 0.0204578 0.0201470 0.0197455 0.0198036 0.0205073 0.0198299 0.0197768 0.0198964 0.0196085 0.0199901 0.0198955 0.0194939 0.0196609 0.0203531 0.0200473 0.0197778 0.0191999 0.0193431 0.0196104 0.0194492 0.0198793 0.0203592 0.0203324 0.0203410 0.0201074 0.0201622 0.0202771 0.0194997 0.0203982
0.0208223 0.0199680 0.0200237 0.0202398 0.0197628 0.0194586 0.0203346 0.0192810 0.0200141 0.0202073 0.0197383 0.0200418 0.0193588 0.0197804 0.0200794 0.0200464 0.0198111 0.0191212 0.0202143 0.0198495 0.0208657 0.0197317 0.0194080 0.0203301 0.0200033 0.0201109 0.0196831 0.0198584 0.0188070 0.0201628 0.0194154 0.0195203 0.0200679 0.0211385 0.0194098 0.0210521 0.0205421 0.0209890 0.0201048 0.0202873 0.0199661 0.0201868 0.0198634 0.0202982 0.0198997 0.0196669 0.0203408 0.0198944 0.0207050 0.0195370
0.0203285 0.0193682 0.0198994 0.0205268 0.0198309 0.0201995 0.0205693 0.0198103 0.0199379 0.0200883 0.0204879 0.0196428 0.0191375 0.0197583 0.0203713 0.0199327 0.0197048 0.0199899 0.0197082 0.0193426 0.0205120 0.0197302 0.0199846 0.0213697 0.0203006 0.0194132 0.0201244 0.0192710 0.0198651 0.0203608 0.0196878 0.0202146 0.0198256 0.0194038 0.0198710 0.0200290 0.0199392 0.0199024 0.0205330 0.0199991 0.0198979 0.0200280 0.0208703 0.0207136 0.0201476 0.0199102 0.0195366 0.0193182 0.0204503 0.0201549
0.0197954 0.0200793 0.0198969 0.0200142 0.0198451 0.0192403 0.0195230 0.0200908 0.0201307 0.0202684 0.0199293 0.0207176 0.0199169 0.0199611 0.0205804 0.0193452 0.0192494 0.0195634 0.0200180 0.0193377 0.0196097 0.0195379 0.0197911 0.0202748 0.0190511 0.0195840 0.0202571 0.0206686 0.0204054 0.0198800 0.0202261 0.0196279 0.0198616 0.0204441 0.0217188 0.0204390 0.0200721 0.0202409 0.0207054 0.0205091 0.0196358 0.0204417 0.0182955 0.0200924 0.0197890 0.0208052 0.0200716 0.0204079 0.0201333 0.0199198
0.0208166 0.0199665 0.0200222 0.0202383 0.0197614 0.0194572 0.0203323 0.0192795 0.0200127 0.0202058 0.0197369 0.0200403 0.0193573 0.0197789 0.0200779 0.0200450 0.0198097 0.0191197 0.0202128 0.0198481 0.0208641 0.0197303 0.0194065 0.0203286 0.0200014 0.0201095 0.0196817 0.0198984 0.0188049 0.0201613 0.0194140 0.0195188 0.0200665 0.0211369 0.0194084 0.0210505 0.0205405 0.0209875 0.0201034 0.0202858 0.0199646 0.0201853 0.0198619 0.0202967 0.0198983 0.0196655 0.0203393 0.0199311 0.0207035 0.0195355
0.0207448 0.0198005 0.0193180 0.0193771 0.0200434 0.0194772 0.0207866 0.0194777 0.0198089 0.0198304 0.0197555 0.0197024 0.0201543 0.0194688 0.0194657 0.0199476 0.0202658 0.0203729 0.0194690 0.0196753 0.0204111 0.0198617 0.0208534 0.0196221 0.0197127 0.0199864 0.0204467 0.0196959 0.0198997 0.0199167 0.0200775 0.0209034 0.0194416 0.0195076 0.0207585 0.0199830 0.0204215 0.0198759 0.0198724 0.0208666 0.0197966 0.0202861 0.0198963 0.0204443 0.0197915 0.0195660 0.0205673 0.0197488 0.0203847 0.0204620
0.0208148 0.0199659 0.0200216 0.0202378 0.0197608 0.0194567 0.0203315 0.0192790 0.0200121 0.0202053 0.0197363 0.0200398 0.0193568 0.0197783 0.0200773 0.0200444 0.0198091 0.0191192 0.0202123 0.0198475 0.0208635 0.0197602 0.0194060 0.0203280 0.0200008 0.0201089 0.0196811 0.0198976 0.0188042 0.0201608 0.0194134 0.0195183 0.0200659 0.0211364 0.0194078 0.0210499 0.0205400 0.0209869 0.0201028 0.0202853 0.0199640 0.0201848 0.0198614 0.0202961 0.0198977 0.0196649 0.0203388 0.0199303 0.0207029 0.0195350
0.0197853 0.0200695 0.0198872 0.0200044 0.0198355 0.0192309 0.0195132 0.0202399 0.0201209 0.0202585 0.0199196 0.0207039 0.0199072 0.0199514 0.0205704 0.0193358 0.0192400 0.0195539 0.0200082 0.0193282 0.0196001 0.0196372 0.0197815 0.0202649 0.0190417 0.0195744 0.0202472 0.0206578 0.0203955 0.0198703 0.0202163 0.0196184 0.0198519 0.0204342 0.0217082 0.0204291 0.0200623 0.0202310 0.0206953 0.0204991 0.0198509 0.0204317 0.0182865 0.0200826 0.0197794 0.0207951 0.0200619 0.0203980 0.0201235 0.0199101
0.0197852 0.0200696 0.0198872 0.0200045 0.0198355 0.0192310 0.0195132 0.0202394 0.0201210 0.0202586 0.0199196 0.0207030 0.0199073 0.0199515 0.0205704 0.0193358 0.0192401 0.0195540 0.0200083 0.0193283 0.0196002 0.0196369 0.0197815 0.0202650 0.0190417 0.0195745 0.0202473 0.0206577 0.0203955 0.0198704 0.0202163 0.0196184 0.0198520 0.0204342 0.0217083 0.0204291 0.0200624 0.0202311 0.0206954 0.0204992 0.0198501 0.0204318 0.0182866 0.0200827 0.0197794 0.0207951 0.0200619 0.0203981 0.0201236 0.0199101
0.0197852 0.0200696 0.0198873 0.0200045 0.0198356 0.0192310 0.0195132 0.0202389 0.0201210 0.0202586 0.0199197 0.0207024 0.0199073 0.0199515 0.0205705 0.0193359 0.0192402 0.0195540 0.0200083 0.0193284 0.0196003 0.0196366 0.0197816 0.0202650 0.0190417 0.0195745 0.0202473 0.0206576 0.0203956 0.0198704 0.0202164 0.0196185 0.0198520 0.0204343 0.0217083 0.0204292 0.0200625 0.0202311 0.0206954 0.0204993 0.0198495 0.0204319 0.0182867 0.0200827 0.0197795 0.0207952 0.0200620 0.0203981 0.0201236 0.0199102
0.0208783 0.0199633 0.0200189 0.0202351 0.0197582 0.0194540 0.0203283 0.0192764 0.0200094 0.0202026 0.0197337 0.0200371 0.0193542 0.0197757 0.0200746 0.0200417 0.0198065 0.0191166 0.0202096 0.0198448 0.0208608 0.0197571 0.0194034 0.0203253 0.0199979 0.0201062 0.0196785 0.0198943 0.0188012 0.0201581 0.0194108 0.0195157 0.0200632 0.0211687 0.0194052 0.0210471 0.0205372 0.0209841 0.0201001 0.0202825 0.0199614 0.0202172 0.0198587 0.0202934 0.0198950 0.0196623 0.0203360 0.0199271 0.0207001 0.0195324
0.0209875 0.0202477 0.0199850 0.0201488 0.0201575 0.0198853 0.0203108 0.0207718 0.0206008 0.0201442 0.0201993 0.0207492 0.0192474 0.0201243 0.0193554 0.0191299 0.0193808 0.0196032 0.0206771 0.0204796 0.0198604 0.0204559 0.0201449 0.0197434 0.0198016 0.0205051 0.0198278 0.0197759 0.0198934 0.0196064 0.0199880 0.0198935 0.0194919 0.0196796 0.0203510 0.0200452 0.0197757 0.0191979 0.0193411 0.0196083 0.0194472 0.0198979 0.0203571 0.0203303 0.0203388 0.0201053 0.0201601 0.0202970 0.0194977 0.0203960
0.0209869 0.0202478 0.0199851 0.0201489 0.0201575 0.0198853 0.0203108 0.0207718 0.0206008 0.0201442 0.0201993 0.0207493 0.0192474 0.0201243 0.0193554 0.0191300 0.0193808 0.0196032 0.0206772 0.0204796 0.0198604 0.0204559 0.0201450 0.0197435 0.0198016 0.0205052 0.0198278 0.0197760 0.0198932 0.0196064 0.0199881 0.0198935 0.0194919 0.0196794 0.0203510 0.0200452 0.0197758 0.0191979 0.0193412 0.0196083 0.0194472 0.0198977 0.0203571 0.0203303 0.0203389 0.0201053 0.0201601 0.0202968 0.0194977 0.0203961
0.0197958 0.0210402 0.0204838 0.0200200 0.0205213 0.0200935 0.0201988 0.0199792 0.0197830 0.0191787 0.0199307 0.0205014 0.0203104 0.0199584 0.0195708 0.0201540 0.0196217 0.0200191 0.0198044 0.0203389 0.0200982 0.0197604 0.0203127 0.0203987 0.0196204 0.0191494 0.0201003 0.0204171 0.0198534 0.0204061 0.0201122 0.0203321 0.0199632 0.0195397 0.0192042 0.0207099 0.0194654 0.0201496 0.0203290 0.0203059 0.0200250 0.0198785 0.0197516 0.0202272 0.0198897 0.0190231 0.0202979 0.0194599 0.0194189 0.0204961
0.0208655 0.0199727 0.0200114 0.0205966 0.0197508 0.0194467 0.0203200 0.0192692 0.0200019 0.0201950 0.0197262 0.0200296 0.0193469 0.0197683 0.0200671 0.0200342 0.0197990 0.0191095 0.0202020 0.0198374 0.0208529 0.0197491 0.0193961 0.0203177 0.0199900 0.0200987 0.0196711 0.0198860 0.0187936 0.0201505 0.0194035 0.0195083 0.0200557 0.0211600 0.0193979 0.0210392 0.0205295 0.0209762 0.0200925 0.0202749 0.0199539 0.0202089 0.0198513 0.0202858 0.0198876 0.0196549 0.0203284 0.0199188 0.0206924 0.0195250
0.0197949 0.0210390 0.0204837 0.0200184 0.0205212 0.0200933 0.0201967 0.0199790 0.0197830 0.0191787 0.0199306 0.0205012 0.0203103 0.0199584 0.0195707 0.0201540 0.0196216 0.0200191 0.0198044 0.0203388 0.0200982 0.0197598 0.0203126 0.0203986 0.0196192 0.0191494 0.0201003 0.0204156 0.0198530 0.0204061 0.0201122 0.0203321 0.0199632 0.0195393 0.0192042 0.0207098 0.0194654 0.0201624 0.0203290 0.0203059 0.0200248 0.0198781 0.0197516 0.0202271 0.0198897 0.0190231 0.0202978 0.0194595 0.0194189 0.0204961
0.0208502 0.0204598 0.0200019 0.0205785 0.0197413 0.0194375 0.0203096 0.0192600 0.0199923 0.0201853 0.0197168 0.0200200 0.0193377 0.0197588 0.0200575 0.0200246 0.0197896 0.0191003 0.0201923 0.0198279 0.0208430 0.0197390 0.0193868 0.0203080 0.0199801 0.0200891 0.0196617 0.0198756 0.0187839 0.0201409 0.0193943 0.0194990 0.0200461 0.0211491 0.0193887 0.0210291 0.0205197 0.0209662 0.0200830 0.0202652 0.0199443 0.0201985 0.0198418 0.0202761 0.0198781 0.0196455 0.0203187 0.0199085 0.0206825 0.0195157
0.0209855 0.0202480 0.0199851 0.0201491 0.0201576 0.0198854 0.0203109 0.0207719 0.0206009 0.0201443 0.0201994 0.0207494 0.0192475 0.0201244 0.0193555 0.0191300 0.0193809 0.0196033 0.0206773 0.0204797 0.0198605 0.0204560 0.0201451 0.0197435 0.0198017 0.0205052 0.0198279 0.0197760 0.0198927 0.0196065 0.0199882 0.0198936 0.0194920 0.0196788 0.0203511 0.0200453 0.0197758 0.0191980 0.0193412 0.0196084 0.0194473 0.0198971 0.0203572 0.0203304 0.0203390 0.0201054 0.0201602 0.0202962 0.0194978 0.0203962
0.0199782 0.0200952 0.0198735 0.0200243 0.0198218 0.0194196 0.0194987 0.0202168 0.0201070 0.0202445 0.0199058 0.0206763 0.0198935 0.0199376 0.0205562 0.0193224 0.0192268 0.0195404 0.0199944 0.0193149 0.0195866 0.0196174 0.0197678 0.0202626 0.0190280 0.0195609 0.0202332 0.0206408 0.0203814 0.0198566 0.0202023 0.0196048 0.0198382 0.0204201 0.0216932 0.0204150 0.0200485 0.0204591 0.0206810 0.0204850 0.0198242 0.0204177 0.0182739 0.0200688 0.0197657 0.0207807 0.0200480 0.0203839 0.0201096 0.0198964
0.0208444 0.0204478 0.0200013 0.0205699 0.0197408 0.0194369 0.0203084 0.0192594 0.0199918 0.0201848 0.0197163 0.0200194 0.0193371 0.0197583 0.0200569 0.0200241 0.0197890 0.0190998 0.0201918 0.0198274 0.0208424 0.0197378 0.0194238 0.0203278 0.0199792 0.0200885 0.0196612 0.0198742 0.0187827 0.0201403 0.0193937 0.0194985 0.0200455 0.0211478 0.0193881 0.0210286 0.0205191 0.0209656 0.0200824 0.0202647 0.0199438 0.0201972 0.0198412 0.0202755 0.0198775 0.0196449 0.0203181 0.0199071 0.0206819 0.0195152
0.0209843 0.0202476 0.0199847 0.0201487 0.0201572 0.0198850 0.0203105 0.0207715 0.0206005 0.0201439 0.0201990 0.0207489 0.0192471 0.0201240 0.0193551 0.0191297 0.0193805 0.0196029 0.0206768 0.0204793 0.0198601 0.0204556 0.0201669 0.0197431 0.0198013 0.0205048 0.0198275 0.0197756 0.0198920 0.0196061 0.0199878 0.0198932 0.0194916 0.0196780 0.0203507 0.0200449 0.0197754 0.0191976 0.0193408 0.0196080 0.0194469 0.0198964 0.0203568 0.0203300 0.0203385 0.0201050 0.0201598 0.0202954 0.0194974 0.0203958
0.0210931 0.0202878 0.0194562 0.0195557 0.0201817 0.0198441 0.0199713 0.0195106 0.0200646 0.0195722 0.0197934 0.0201547 0.0203836 0.0199782 0.0206214 0.0199193 0.0205100 0.0201477 0.0199386 0.0198469 0.0202268 0.0200775 0.0203840 0.0196805 0.0195555 0.0209537 0.0196244 0.0199520 0.0194972 0.0201194 0.0198709 0.0202108 0.0196061 0.0192405 0.0196611 0.0202612 0.0212770 0.0200772 0.0200886 0.0200160 0.0198721 0.0198538 0.0196855 0.0205067 0.0202469 0.0203140 0.0196712 0.0198175 0.0192388 0.0195816
0.0209813 0.0203727 0.0199822 0.0201461 0.0201547 0.0198825 0.0203079 0.0207688 0.0205979 0.0201413 0.0201964 0.0207463 0.0192446 0.0201214 0.0193526 0.0191272 0.0193780 0.0196004 0.0206742 0.0204767 0.0198576 0.0204530 0.0201642 0.0197406 0.0197988 0.0205022 0.0198250 0.0197731 0.0198893 0.0196036 0.0199852 0.0198907 0.0194892 0.0196754 0.0203481 0.0200423 0.0197729 0.0191951 0.0193384 0.0196055 0.0194444 0.0198937 0.0203542 0.0203274 0.0203360 0.0201024 0.0201572 0.0202927 0.0194949 0.0203932
