sender	time
6 0.84
2 0.94
3 1.32
1 1.59
4 3.63
2 3.65
1 3.91
9 4.29
1 4.57
2 5.22
2 5.62
2 5.93
1 5.98
3 6.51
3 7.63
5 7.89
1 8.07
5 9.76
1 10.34
3 11.00
2 11.20
1 12.58
3 12.73
7 12.82
3 13.49
5 13.94
1 15.10
3 15.98
5 18.05
6 18.30
1 18.35
1 18.94
2 21.10
1 21.49
3 22.26
2 22.28
1 24.69
3 25.81
4 25.94
1 27.31
7 29.27
2 30.66
3 30.67
2 30.76
5 31.50
3 33.44
8 35.82
5 36.16
1 36.34
2 37.72
3 38.77
1 38.85
2 41.05
1 41.17
1 42.00
2 42.05
1 42.24
5 43.05
3 43.44
3 44.08
3 44.97
5 45.55
2 46.14
1 46.37
1 47.20
3 47.73
2 47.74
9 48.25
5 48.25
3 49.47
4 49.74
5 50.06
